Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
GCF_001297795	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
GCF_001306025	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1169	2	0	0	0	99.90	0.33	0.00
GCF_001316675	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1115	49	7	0	0	99.93	4.20	82.86
GCF_001317135	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1150	20	1	0	0	99.87	1.40	0.00
GCF_001317155	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1152	18	1	0	0	99.87	1.36	0.00
GCF_001373155	f__Enterobacteriaceae (UID5124)	134	1173	336	14	1032	114	12	1	0	99.16	11.30	85.90
GCF_001411885	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1169	2	0	0	0	99.90	0.33	0.00
GCF_001412715	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	13	1	0	0	99.90	1.02	12.50
GCF_001412725	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1154	17	0	0	0	99.90	1.10	11.76
GCF_001412735	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1151	18	2	0	0	99.90	1.48	33.33
GCF_001412755	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1155	14	2	0	0	99.90	1.15	20.00
GCF_001412795	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	13	1	0	0	99.90	1.02	12.50
GCF_001412815	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1155	15	1	0	0	99.90	1.14	22.22
GCF_001412825	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	14	0	0	0	99.90	0.97	7.14
GCF_001412855	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	13	1	0	0	99.90	1.02	12.50
GCF_001412875	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1155	15	1	0	0	99.90	1.21	22.22
GCF_001413035	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	12	2	0	0	99.90	1.08	16.67
GCF_001413045	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	12	2	0	0	99.90	1.08	16.67
GCF_001413075	f__Enterobacteriaceae (UID5124)	134	1172	336	3	1151	16	2	0	0	99.79	1.48	22.73
GCF_001413095	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	12	2	0	0	99.90	1.08	16.67
GCF_001413115	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1155	14	2	0	0	99.90	1.29	15.00
GCF_001413125	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	12	2	0	0	99.90	1.08	16.67
GCF_001413155	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1156	13	2	0	0	99.90	1.23	15.79
GCF_001413165	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	12	2	0	0	99.90	1.08	16.67
GCF_001413195	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	12	2	0	0	99.90	1.07	11.11
GCF_001413215	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1155	15	1	0	0	99.90	1.21	22.22
GCF_001413235	f__Enterobacteriaceae (UID5124)	134	1172	336	4	1153	15	0	0	0	99.67	1.02	13.33
GCF_001413255	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	13	1	0	0	99.90	1.02	12.50
GCF_001413275	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	13	1	0	0	99.90	1.02	12.50
GCF_001413295	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1156	14	1	0	0	99.90	1.17	17.65
GCF_001413315	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	13	1	0	0	99.90	1.02	12.50
GCF_001413335	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1156	14	1	0	0	99.90	1.06	11.76
GCF_001463265	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1162	9	1	0	0	99.93	0.76	0.00
GCF_001471655	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1167	5	0	0	0	99.97	0.53	40.00
GCF_001471775	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1163	7	1	0	0	99.88	1.06	40.00
GCF_001482545	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1165	7	0	0	0	100.00	0.32	0.00
GCF_001482575	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1166	6	0	0	0	100.00	0.28	50.00
GCF_001546285	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1169	3	0	0	0	100.00	0.13	0.00
GCF_001546305	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1165	6	0	0	0	99.88	0.47	0.00
GCF_001546325	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1165	6	0	0	0	99.88	0.47	0.00
GCF_001552875	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1164	6	0	0	0	99.81	0.47	0.00
GCF_001558935	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1169	3	0	0	0	99.97	0.09	0.00
GCF_001559075	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1165	6	0	0	0	99.91	0.37	16.67
GCF_001559235	f__Enterobacteriaceae (UID5124)	134	1173	336	4	1165	4	0	0	0	99.42	0.37	50.00
GCF_001586835	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1167	4	0	0	0	99.70	0.36	0.00
GCF_001586845	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1167	4	0	0	0	99.90	0.46	0.00
GCF_001689745	f__Enterobacteriaceae (UID5124)	134	1173	336	8	1159	6	0	0	0	98.91	0.40	0.00
GCF_001702455	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1164	7	0	0	0	99.90	0.86	0.00
GCF_001718055	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1160	11	0	0	0	99.90	0.52	54.55
GCF_001721255	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1153	16	1	0	0	99.77	1.38	5.26
GCF_001858105	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1160	11	0	0	0	99.88	0.65	0.00
GCF_001867255	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1167	3	1	0	0	99.67	0.67	0.00
GCF_001880775	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1162	8	0	0	0	99.83	0.37	12.50
GCF_001880795	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1155	16	0	0	0	99.90	1.39	31.25
GCF_001880825	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1164	7	1	0	0	100.00	1.25	0.00
GCF_001880835	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1169	2	1	0	0	100.00	0.93	0.00
GCF_001880845	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1165	6	0	1	0	100.00	1.14	0.00
GCF_001880865	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1160	9	1	0	0	99.87	1.02	0.00
GCF_001880905	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1155	16	0	0	0	99.90	1.31	62.50
GCF_001880915	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1164	5	1	0	0	99.80	1.17	25.00
GCF_001880945	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1163	7	0	1	0	99.97	1.29	0.00
GCF_001880955	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1160	11	0	0	0	99.90	1.09	0.00
GCF_001922445	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1165	5	0	0	0	99.57	0.38	0.00
GCF_001952715	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1160	12	0	0	0	99.97	0.87	8.33
GCF_002025225	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1163	8	0	0	0	99.87	0.62	0.00
GCF_002042885	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1172	0	0	0	0	99.97	0.00	0.00
GCF_002042945	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1161	10	0	0	0	99.87	0.77	0.00
GCF_002051555	f__Enterobacteriaceae (UID5124)	134	1173	336	4	1167	2	0	0	0	99.68	0.11	50.00
GCF_002073755	f__Enterobacteriaceae (UID5124)	134	1173	336	0	1167	6	0	0	0	100.00	0.71	16.67
GCF_002075345	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1160	12	0	0	0	99.97	0.82	8.33
GCF_002114305	f__Enterobacteriaceae (UID5124)	134	1173	336	4	1166	3	0	0	0	99.76	0.14	33.33
GCF_002151695	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1171	1	0	0	0	99.97	0.04	0.00
GCF_002151735	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1166	5	0	0	0	99.90	0.27	0.00
GCF_002151755	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1158	13	0	0	0	99.97	1.01	23.08
GCF_002151775	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1156	15	0	0	0	99.70	1.10	0.00
GCF_002151785	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1164	8	0	0	0	100.00	0.97	0.00
GCF_002151815	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1168	2	0	0	0	99.55	0.07	0.00
GCF_002185305	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1169	2	0	0	0	99.87	0.09	50.00
GCF_002189125	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1166	5	0	0	0	99.90	0.26	0.00
GCF_002192675	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1158	13	0	1	0	100.00	1.47	26.32
GCF_002208845	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1166	6	0	0	0	99.97	0.40	0.00
GCF_002208985	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1165	6	0	0	0	99.88	0.47	0.00
GCF_002211705	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1162	9	0	0	0	99.90	0.64	0.00
GCF_002215385	f__Enterobacteriaceae (UID5124)	134	1172	336	3	1160	9	0	0	0	99.81	1.15	11.11
GCF_002215605	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1170	1	0	0	0	99.87	0.04	0.00
GCF_002239605	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1154	17	0	1	0	99.97	1.92	21.74
GCF_002249995	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1162	8	2	0	0	99.97	0.90	21.43
GCF_002252025	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1153	15	3	0	0	99.90	2.62	8.33
GCF_002252065	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1163	9	0	0	0	100.00	1.15	22.22
GCF_002252125	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1153	15	3	0	0	99.90	2.62	8.33
GCF_002289385	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1166	6	0	0	0	99.97	0.40	0.00
GCF_002386385	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1166	6	0	0	0	99.97	0.58	0.00
GCF_002393245	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1165	6	0	0	0	99.88	0.47	0.00
GCF_002417525	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	14	0	0	0	99.90	1.09	28.57
GCF_002417535	f__Enterobacteriaceae (UID5124)	134	1172	336	2	1169	1	0	0	0	99.86	0.04	0.00
GCF_002738435	f__Enterobacteriaceae (UID5124)	134	1172	336	1	1157	14	0	0	0	99.97	1.00	7.14
GCF_002786865	f__Enterobacteriaceae (UID5124)	134	1173	336	0	1167	6	0	0	0	100.00	0.68	0.00
GCF_002796505	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1164	8	0	0	0	100.00	0.67	0.00
GCF_002843195	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1168	3	0	0	0	99.87	0.64	0.00
GCF_002850715	f__Enterobacteriaceae (UID5124)	134	1173	336	3	1157	13	0	0	0	99.81	0.82	0.00
GCF_002863945	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1160	10	1	0	0	99.55	1.11	0.00
GCF_002863965	f__Enterobacteriaceae (UID5124)	134	1173	336	2	1167	4	0	0	0	99.88	0.25	0.00
GCF_002864025	f__Enterobacteriaceae (UID5124)	134	1172	336	0	1160	12	0	0	0	100.00	1.10	0.00
GCF_002871775	f__Enterobacteriaceae (UID5124)	134	1172	336	3	1164	5	0	0	0	99.72	0.77	0.00
GCF_002880615	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1164	8	0	0	0	99.97	0.56	12.50
GCF_002903215	f__Enterobacteriaceae (UID5124)	134	1173	336	1	1155	13	4	0	0	99.97	1.93	16.00
