name	Metal	Biocide	Heat	Virulence	Acid
GCF_013725595	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_005281355	pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_016504815	arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoR,silA,silP,silR	qacG2		ybtP,ybtQ	
GCF_016859905	pcoS,terD,terW,terZ	qacEdelta1,qacL			
GCF_000521965	arsA,arsD,arsR,merD,merE,merP,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_004004805	arsA,arsD,arsR,merD,merE,merP,merR,merT,pcoA,pcoD,pcoR,silA,silB,silC,silF,silP,silR,silS		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_014803105	arsA,arsD,arsR,merA,merC,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS,terD,terW,terZ				
GCF_013749535	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_001037585	arsA,arsD,arsR,merA,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1			
GCF_001721255	merA,merD,merE,merP,merR,merT,pcoE,terB,terC,terD,terE	qacE			
GCF_008931685	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1,qacG2			
GCF_900079795	arsA,arsD,arsR,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_014803115	arsA,arsD,arsR,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacEdelta1			
GCF_900461055	merC,merP,merR,merT	qacEdelta1		iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_018066565	arsA,arsD,arsR,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacE			
GCF_005281175	arsA,arsD,arsR				
GCF_003990165	arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_002051555	arsA,arsD,arsR	qacEdelta1			
GCF_016905775	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ	qacE			
GCF_016505335	pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_001022155	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacEdelta1			
GCF_002192675	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS				
GCF_014101295	arsA,arsD,arsR				
GCF_005281025	arsA,arsD,arsR				
ERQ0156	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS		hsp20		
GCF_015965555				espA,espK,nleB,nleC,tir	
GCF_014679775				iucA,iucB,iucC,iutA,ybtP,ybtQ	
GCF_000937505	arsA,arsD,arsR,pcoA,pcoR,silA,silP,silR,terD,terW,terZ				
GCF_001880955	arsA,arsD,arsR	qacEdelta1			
GCF_018441285	merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ	qacE			
GCF_019270335					
DB_3_C11	arsA,arsD,arsR,merA,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacE,qacG2			
SD_5_A12					
GCF_014802805	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS,terB,terC,terD	qacEdelta1		ybtP,ybtQ	
GCF_008370125	arsA,arsD,arsR,terD,terW,terZ				
GCF_002903215	arsA,arsD,arsR	qacEdelta1			
ERQ0165	arsA,arsD,arsR,merA,merD,merE,merR,merT				
GCF_013792365	arsA,arsD,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS				
GCF_002863945	arsA,arsD,arsR,merA,merD,merE,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS	qacEdelta1			
GCF_003400395	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacH			
GCF_015731115	pcoE,pcoS	qacEdelta1			
GCF_018421715	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1			
GCF_002386385	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_019584005	arsA,arsD,arsR				
GCF_014333315				iucA,iucB,iucC,iutA,ybtP,ybtQ	
GCF_002918575					
GCF_004801125	arsA,arsD,arsR		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2	iroN	
GCF_016500865					
GCF_016503635					
GCF_000783445				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_000018045				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_004005255	arsA,arsD,merA,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS	qacEdelta1	hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_016500885	arsA,arsD,arsR				
GCF_005281165	arsA,arsD,arsR				
GCF_015670485				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_016502045	arsA,arsD,arsR,merC,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacEdelta1			
GCF_005281155					
GCF_009876795	arsA,arsD,arsR				
GCF_003015305	merC,merR,merT	qacEdelta1			
GCF_002417525	arsD,arsR,pcoA,pcoR,silA,silP,silR				
GCF_011602505	arsA,arsD,arsR,merD,merE,merP,merR,merT,ncrA,ncrB,ncrC,nirA,nirB,nirD,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terB,terC,terD,terE				
GCF_015230995					
GCF_000277565	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_016500585	arsA,arsD,arsR,merA,merC,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS,terD,terW,terZ	qacEdelta1			
GCF_004801105	ncrC,nirA,nirB,nirD,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_005960425	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoS,terD,terW,terZ	qacEdelta1			
GCF_004023995	arsR,merC,merP,merR,merT	qacEdelta1			
GCF_004801115	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_010319905	arsA,arsD,arsR,merR,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacE			
GCF_002939255	silA,silB,silC,silE,silF,silP,silR,silS				
GCF_021417205	arsA,arsD,arsR,merD,merP,merR,merT				
GCF_016509215	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1			
GCF_014855625	arsA,arsD,arsR,merA,merD,merE,merP,merR,merT,ncrA,ncrB,ncrC,ncrY,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacE,qacEdelta1			
GCF_014803025	arsA,arsD,arsR,merA,merC,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacEdelta1			
ERQ0683	arsA,arsD,arsR,merA,merD,merE,merF,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_016503845	arsA,arsD,arsR,merA,merD,merE,merR,merT	qacEdelta1			
GCF_000158355	arsA,arsD,arsR,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ				
GCF_016502215	arsA,arsD,arsR				
GCF_013745755	arsA,arsD,arsR,merA,merD,merE,merR,merT				
ERQ0172	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoS,terD,terW,terZ	qacEdelta1			
GCF_001055315	arsA,arsR,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS		shsP,trxLHR,yfdX1,yfdX2		
GCF_016504035	arsD,arsR				
GCF_016500875	arsA,arsD,arsR,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS			iucA,iucB,iucC,iutA,ybtP,ybtQ	
SD_2_G2	arsA,arsD,arsR				
GCF_900446905	arsA,arsD,arsR				
ERQ0682	arsA,arsD,arsR,merA,merD,merE,merF,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_905219065	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1			
GCF_013786145	ncrA,ncrB,ncrC,ncrY,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_002918495					
GCF_013798355	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_010119415	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terB,terC,terD,terE	qacEdelta1			
ERQ0044	arsA,arsD,arsR,merA,merD,merE,merR,merT,terD,terW,terZ				
GCF_016501465				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_014803275	arsA,arsD,arsR,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacEdelta1			
GCF_002918465					
GCF_018443005	arsA,arsD,arsR,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS,terD,terW,terZ	qacE			
GCF_018441725	merA,merD,merE,merP,merR,merT				
GCF_015730635	arsA,arsD,arsR				
GCF_014931625	terD,terW,terZ	qacEdelta1			
GCF_015234875				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_013815045					
GCF_019656375				ybtP,ybtQ	
GCF_014103655	arsA,arsD,arsR,terD,terW,terZ				
GCF_003471655					
GCF_005217825	arsA,arsD,merA,merD,merE,merP,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS				
GCF_016503915				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_001317155	arsA,arsD,arsR,merA,merC,merD,merE,merP,merR,merT,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1			
GCF_013797615					
GCF_013826265	arsA,arsD,arsR	qacEdelta1			
GCF_014803265	arsA,arsD,arsR,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacEdelta1			
GCF_016501025				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_002918555	arsR				
GCF_021373375	arsA,arsD,arsR			iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_016500795				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_016505625					
GCF_014855915	arsA,arsD,arsR	qacE,qacEdelta1		iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_015674715					
GCF_018342065	arsR,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1			
GCF_021533375				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_900449345	arsA,arsD,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_016505395					
GCF_016505485	arsA,arsD,arsR,merP,merR,merT,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_020099335	arsA,arsD,arsR,merA,merB,merD,merE,merR,merT,pcoA,pcoR,silA,silP,silR,terD,terW,terZ				
ERQ0243	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ				
GCF_014103475	arsA,arsD,arsR,merA,merD,merE,merR,merT				
GCF_015230755	arsD,arsR,merC,merP,merR,merT,pcoA,pcoR,silA,silP,silR,terD,terW,terZ	qacEdelta1			
GCF_016504865	arsA,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_018106225	merA,merD,merE,merR,merT	qacE			
GCF_016859695	terD,terW,terZ	qacEdelta1			
GCF_001482575	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS,terD,terW,terZ	qacE			
GCF_001297795	arsA,arsD,arsR				
GCF_009876695	arsA,arsD,arsR				
GCF_009664045	merC,merP,merR,merT,pcoS,terD,terW,terZ	qacEdelta1			
GCF_016504115	arsA,arsR,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_013612875	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_018423095	merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS				
GCF_003255895	arsA,arsD,arsR				
GCF_001034485					
GCF_015674155					
GCF_016504735					
GCF_016502055	arsA,arsD,arsR,chrA,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
SG18_265_S115					
GCF_013741395	arsA,arsD,arsR,merA,merD,merE,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_000027085				espA,espF,espK,nleB,nleC,tir	
GCF_008364715	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1			
GCF_014902035	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_902381795	arsA,arsD,arsR				
GCF_013890155	arsA,arsD,arsR				
GCF_016893745					
GCF_901456255		qacEdelta1,qacL			
GCF_016504365				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_018106145	merA,merD,merE,merR,merT	qacEdelta1			
GCF_015231155	arsD,arsR,merC,merP,merR,merT,pcoA,pcoR,silA,silP,silR,terD,terW,terZ	qacEdelta1			
GCF_014104005	merA,merD,merE,merR,merT	qacEdelta1,qacG2			
GCF_900446875				ybtP,ybtQ	
GCF_902373845					
GCF_004353845	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS				
GCF_013746155	merA,merD,merE,merR,merT				
GCF_001880845	arsA,arsD,arsR	qacEdelta1			
GCF_002919455					
GCF_014855525	ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacE,qacEdelta1	hsp20		
GCF_013816515	arsA,arsD,arsR,merA,merD,merE,merP,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_016502265	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1			
GCF_001922445				ybtP,ybtQ	
GCF_013784645	arsA,arsD,arsR,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
SD_9_H6					
GCF_016859715	terD,terW,terZ				
GCF_015558715	arsD,arsR				
GCF_001034465	arsA,arsD,arsR,merD,merE,merP,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_013899325	arsA,arsD,arsR				
GCF_002947675				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_001413195	arsA,arsD,arsR,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS				
GCF_014230155	arsA,arsD,arsR	qacEdelta1			
GCF_001057215	arsA,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS		shsP,trxLHR,yfdX1,yfdX2		
ERQ0222	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_013725165	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_001880775	arsA,arsD,arsR,merC,merP,merR,merT	qacEdelta1			
GCF_017151575		qacEdelta1			
GCF_013390245	merA,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_016501745				iucA,iucB,iucC,iutA,senB,ybtP,ybtQ	
GCF_013794885	arsA,arsD,arsR,merA,merD,merE,merR,merT				
GCF_900638065			hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_018420455	arsA,arsD,merD,merE,merP,merR,merT,ncrA,ncrB,ncrC,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS	qacE			
GCF_016502165	terB,terC,terD,terE			ybtP,ybtQ	
GCF_001413255	arsA,arsD,arsR,merD,merE,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS				
GCF_902387635				ybtP,ybtQ	
GCF_013747755	arsA,arsD,arsR,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_902807235	arsA,arsD,arsR	qacEdelta1			
GCF_019502645	arsD,arsR,merC,merD,merE,merP,merR,merT,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ	qacEdelta1			
GCF_000783755	arsA,arsD,arsR,ncrA,ncrB,ncrC,pcoA,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silF,silP,silR,silS		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
ERQ0233	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_016894085	arsA,arsD,arsR				
GCF_019800295	arsA,arsD,arsR,merA,merD,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	smr			
GCF_014104235	arsA,arsD,arsR,merA,merD,merE,merR,merT				
GCF_013741155	arsA,arsD,arsR,merA,merD,merE,merR,merT		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_900460975					
GCF_015230675	arsD,arsR,merC,merP,merR,merT,pcoA,pcoR,silA,silR,terD,terW,terZ	qacE			
GCF_005280845	pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
GCF_014803045	arsA,arsD,arsR,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacEdelta1			
GCF_902387995	arsD,arsR,merA,merC,merD,merE,merR,merT,pcoS	qacEdelta1			
GCF_009876815	arsA,arsD,arsR				
GCF_015549445	arsD,arsR				
GCF_018447685	arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoR,silA,silR		hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
GCF_014803335	arsA,arsD,arsR,merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacE			
GCF_905329885	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silR,silS	qacEdelta1			
GCF_019448455	arsA,arsD,arsR				
GCF_020889125	arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	qacEdelta1,qacL			
GCF_000759815				espA,espK,nleB,nleC,tir	
GCF_001558935	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS				
