genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
GCF_014803115	5050	4957	94	genus	0.88	0.86	0.18	0.11	0.27	0.95	0.82	True
GCF_900461055	4520	4482	15	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCF_018066565	5219	5118	74	family	0.94	0.92	0.77	0.03	0.06	0.94	0.87	False
GCF_005281175	4468	4393	40	genus	0.88	0.87	0.04	0.03	0.06	0.95	0.82	True
GCF_003990165	4734	4671	26	genus	0.89	0.88	0.08	0.08	0.18	0.95	0.83	True
GCF_002051555	4861	4759	46	genus	0.87	0.86	0.07	0.06	0.12	0.95	0.81	True
GCF_016905775	5056	4975	193	genus	0.86	0.85	0.6	0.1	0.23	0.96	0.81	False
GCF_016505335	4614	4527	26	family	0.97	0.95	0.5	0.03	0.06	0.93	0.88	False
GCF_001022155	5264	5036	10	genus	0.86	0.82	0.1	0.11	0.27	0.95	0.78	True
GCF_002192675	5102	5005	162	genus	0.89	0.87	0.33	0.13	0.31	0.95	0.82	True
GCF_014101295	4426	4388	7	genus	0.84	0.84	0.01	0.03	0.06	0.94	0.79	True
GCF_005281025	4854	4798	107	genus	0.9	0.89	0.3	0.06	0.13	0.97	0.86	True
ERQ0156	5157	4965	190	genus	0.85	0.82	0.26	0.1	0.24	0.95	0.78	True
GCF_015965555	5068	4979	189	species	0.91	0.89	0.02	0.04	0.09	0.99	0.89	True
GCF_014679775	4557	4516	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
GCF_000937505	5680	5518	19	family	0.92	0.89	0.73	0.03	0.07	0.93	0.83	False
GCF_001880955	5306	5059	157	family	0.94	0.9	0.74	0.03	0.06	0.93	0.84	False
GCF_018441285	4998	4908	75	genus	0.88	0.86	0.46	0.1	0.23	0.96	0.82	False
GCF_019270335	4420	4360	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
DB_3_C11	5312	5178	254	family	0.92	0.9	0.68	0.03	0.05	0.94	0.84	False
SD_5_A12	4720	4667	311	genus	0.88	0.87	0.1	0.03	0.06	0.96	0.83	True
GCF_014802805	4843	4758	144	genus	0.88	0.86	0.3	0.08	0.18	0.95	0.82	True
GCF_008370125	5400	5267	425	family	0.94	0.92	0.64	0.03	0.06	0.93	0.86	False
GCF_002903215	5354	5279	3	genus	0.84	0.83	0.05	0.12	0.3	0.95	0.79	True
ERQ0165	5301	5138	195	family	0.93	0.9	0.55	0.02	0.05	0.94	0.84	False
GCF_013792365	4826	4764	2	genus	0.87	0.86	0.01	0.08	0.17	0.95	0.82	True
GCF_002863945	5667	5442	184	family	0.93	0.9	0.66	0.05	0.12	0.92	0.83	False
GCF_003400395	5537	5403	926	phylum	1.0	0.97	0.99	0.06	0.12	0.93	0.91	False
GCF_015731115	5194	5007	91	genus	0.86	0.83	0.14	0.09	0.2	0.95	0.78	True
GCF_018421715	5300	5187	202	family	0.94	0.92	0.74	0.03	0.05	0.94	0.86	False
GCF_002386385	4559	4506	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.92	0.91	True
GCF_019584005	4771	4621	111	genus	0.88	0.85	0.15	0.03	0.07	0.97	0.83	True
GCF_014333315	4191	4165	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCF_002918575	4672	4606	15	genus	0.85	0.84	0.04	0.03	0.06	0.96	0.8	True
GCF_004801125	4614	4601	53	species	0.9	0.89	0.08	0.03	0.07	1.0	0.89	True
GCF_016500865	4700	4543	26	genus	0.87	0.84	0.02	0.04	0.08	0.95	0.8	True
GCF_016503635	4572	4528	28	genus	0.87	0.86	0.1	0.04	0.07	0.96	0.82	True
GCF_000783445	4389	4350	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
GCF_000018045	4299	4282	3	kingdom	1.0	1.0	0.0	0.0	0.0	0.99	0.99	True
GCF_004005255	5165	5064	160	genus	0.87	0.86	0.33	0.12	0.29	0.95	0.81	True
GCF_016500885	4837	4745	65	genus	0.9	0.88	0.22	0.11	0.25	0.95	0.83	True
GCF_005281165	4682	4618	60	genus	0.85	0.84	0.05	0.03	0.06	0.95	0.8	True
GCF_015670485	4518	4468	22	species	0.82	0.81	0.06	0.03	0.06	0.99	0.81	True
GCF_016502045	5150	4955	69	genus	0.82	0.79	0.17	0.06	0.13	0.95	0.75	True
GCF_005281155	4482	4430	105	genus	0.88	0.87	0.15	0.03	0.07	0.96	0.83	True
GCF_009876795	4606	4530	25	species	0.85	0.83	0.01	0.03	0.07	0.99	0.83	True
GCF_003015305	4585	4532	27	genus	0.87	0.86	0.02	0.03	0.07	0.96	0.83	True
GCF_002417525	4925	4833	190	genus	0.87	0.85	0.16	0.07	0.14	0.95	0.81	True
GCF_011602505	5139	4996	3	family	0.94	0.92	0.22	0.03	0.07	0.97	0.89	True
GCF_015230995	5038	4905	56	genus	0.85	0.82	0.16	0.06	0.13	0.95	0.78	True
GCF_000277565	4852	4755	71	genus	0.89	0.87	0.2	0.11	0.25	0.95	0.83	True
GCF_016500585	5422	5291	108	genus	0.86	0.84	0.42	0.12	0.28	0.94	0.79	True
GCF_004801105	5035	4966	61	genus	0.88	0.87	0.16	0.1	0.22	0.95	0.83	True
GCF_005960425	4984	4913	3	genus	0.87	0.86	0.46	0.1	0.23	0.96	0.82	False
GCF_004023995	4997	4880	138	family	0.94	0.91	0.87	0.03	0.06	0.94	0.86	False
GCF_004801115	4853	4792	102	genus	0.89	0.88	0.21	0.1	0.22	0.95	0.84	True
GCF_010319905	4894	4822	2	family	0.95	0.93	0.82	0.03	0.06	0.95	0.88	False
GCF_002939255	4874	4793	94	genus	0.84	0.82	0.24	0.07	0.14	0.95	0.78	True
GCF_021417205	5120	5000	91	family	0.95	0.93	0.58	0.03	0.06	0.94	0.87	False
GCF_016509215	4937	4860	25	species	0.84	0.83	0.07	0.05	0.1	0.99	0.82	True
GCF_014855625	5778	5550	144	genus	0.76	0.73	0.34	0.07	0.15	0.96	0.7	True
GCF_014803025	5578	5292	115	family	0.92	0.87	0.4	0.02	0.05	0.93	0.81	True
ERQ0683	5813	5265	204	family	0.91	0.83	0.47	0.03	0.05	0.93	0.77	False
GCF_016503845	4934	4857	69	genus	0.86	0.85	0.18	0.08	0.19	0.95	0.8	True
GCF_000158355	4686	4525	9	genus	0.86	0.83	0.08	0.05	0.11	0.96	0.8	True
GCF_016502215	4531	4498	18	species	0.9	0.9	0.02	0.04	0.09	0.99	0.89	True
GCF_013745755	5025	4831	3	genus	0.84	0.81	0.09	0.13	0.31	0.93	0.75	True
ERQ0172	5548	5408	103	genus	0.85	0.82	0.43	0.15	0.38	0.95	0.78	True
GCF_001055315	4909	4790	115	genus	0.89	0.87	0.22	0.11	0.27	0.95	0.83	True
GCF_016504035	4831	4735	44	genus	0.86	0.84	0.14	0.06	0.12	0.95	0.8	True
GCF_016500875	4556	4515	29	genus	0.89	0.88	0.06	0.05	0.11	0.98	0.87	True
SD_2_G2	4604	4532	129	species	0.86	0.85	0.01	0.03	0.07	0.99	0.84	True
GCF_900446905	4745	4673	6	genus	0.89	0.88	0.06	0.09	0.21	0.94	0.83	True
ERQ0682	5458	5252	166	family	0.91	0.87	0.47	0.03	0.06	0.93	0.82	False
GCF_905219065	5264	5130	4	genus	0.83	0.81	0.03	0.1	0.22	0.95	0.77	True
GCF_013786145	5273	5073	3	genus	0.85	0.82	0.2	0.1	0.23	0.95	0.78	True
GCF_002918495	4832	4761	25	genus	0.85	0.84	0.14	0.05	0.11	0.95	0.8	True
GCF_013798355	5082	5015	4	family	0.94	0.93	0.04	0.02	0.04	0.92	0.85	True
GCF_010119415	5841	5397	156	family	0.91	0.84	0.49	0.07	0.15	0.92	0.77	False
ERQ0044	5362	5134	206	family	0.93	0.89	0.28	0.03	0.05	0.93	0.83	True
GCF_016501465	4531	4491	21	species	0.82	0.81	0.03	0.03	0.06	0.99	0.8	True
GCF_014803275	5223	5091	360	genus	0.87	0.85	0.33	0.12	0.28	0.95	0.81	True
GCF_002918465	4826	4756	21	genus	0.86	0.84	0.14	0.05	0.11	0.95	0.8	True
GCF_018443005	5210	5099	109	genus	0.87	0.85	0.44	0.13	0.3	0.95	0.81	True
GCF_018441725	5211	4972	278	genus	0.86	0.82	0.42	0.12	0.28	0.95	0.78	True
GCF_015730635	4861	4776	48	genus	0.88	0.86	0.35	0.1	0.22	0.94	0.81	True
GCF_014931625	4858	4794	72	species	0.83	0.82	0.93	0.04	0.08	0.99	0.82	False
GCF_015234875	4491	4452	24	species	0.83	0.82	0.03	0.03	0.06	0.99	0.81	True
GCF_013815045	4645	4605	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.92	0.91	True
GCF_019656375	4717	4672	34	genus	0.9	0.89	0.09	0.06	0.13	0.95	0.85	True
GCF_014103655	5058	4941	11	genus	0.84	0.82	0.26	0.13	0.31	0.94	0.77	True
GCF_003471655	4440	4377	17	genus	0.89	0.88	0.06	0.02	0.05	0.96	0.84	True
GCF_005217825	5224	5018	178	genus	0.81	0.78	0.25	0.06	0.13	0.95	0.74	True
GCF_016503915	4349	4311	22	genus	0.91	0.9	0.04	0.02	0.05	0.99	0.89	True
GCF_001317155	5458	5242	253	family	0.92	0.89	0.65	0.03	0.07	0.94	0.83	False
GCF_013797615	4801	4736	3	kingdom	1.0	0.99	0.0	0.0	0.0	0.93	0.92	True
GCF_013826265	4786	4715	4	genus	0.87	0.86	0.02	0.05	0.1	0.95	0.82	True
GCF_014803265	5251	5106	503	genus	0.88	0.85	0.34	0.12	0.27	0.95	0.81	True
GCF_016501025	4576	4533	13	genus	0.88	0.87	0.02	0.03	0.07	0.98	0.86	True
GCF_002918555	5137	5015	15	family	0.93	0.91	0.09	0.03	0.05	0.89	0.81	True
GCF_021373375	4327	4294	20	genus	0.9	0.89	0.03	0.03	0.05	0.99	0.88	True
GCF_016500795	4531	4491	20	species	0.82	0.81	0.03	0.03	0.06	0.99	0.8	True
GCF_016505625	4787	4708	29	genus	0.86	0.84	0.09	0.07	0.14	0.95	0.8	True
GCF_014855915	4607	4533	45	family	0.95	0.94	0.62	0.02	0.05	0.97	0.91	False
GCF_015674715	4541	4485	24	genus	0.89	0.87	0.04	0.03	0.07	0.96	0.84	True
GCF_018342065	4758	4701	28	genus	0.86	0.85	0.06	0.08	0.18	0.94	0.79	True
GCF_021533375	4510	4427	241	species	0.82	0.81	0.34	0.03	0.06	0.99	0.8	True
GCF_900449345	4993	4917	2	family	0.96	0.94	0.13	0.02	0.05	0.94	0.88	True
GCF_016505395	4471	4421	27	genus	0.87	0.86	0.05	0.03	0.06	0.96	0.82	True
GCF_016505485	4785	4724	47	genus	0.86	0.85	0.13	0.06	0.13	0.95	0.81	True
GCF_020099335	4760	4693	3	species	0.83	0.82	0.01	0.03	0.07	0.99	0.81	True
ERQ0243	5368	5117	222	genus	0.85	0.81	0.36	0.13	0.32	0.95	0.77	True
GCF_014103475	5645	5416	23	family	0.95	0.91	0.21	0.05	0.1	0.93	0.84	True
GCF_015230755	5351	5266	130	family	0.94	0.92	0.44	0.02	0.05	0.94	0.87	True
GCF_016504865	4839	4757	44	genus	0.86	0.85	0.07	0.06	0.13	0.95	0.81	True
GCF_018106225	5241	5154	117	family	0.94	0.92	0.85	0.03	0.07	0.97	0.9	False
GCF_016859695	5331	5115	112	family	0.91	0.87	0.45	0.02	0.05	0.94	0.81	True
GCF_001482575	5094	5003	105	genus	0.91	0.89	0.42	0.16	0.39	0.95	0.85	True
GCF_001297795	4649	4596	53	species	0.84	0.83	0.01	0.04	0.07	0.99	0.82	True
GCF_009876695	4525	4460	116	species	0.85	0.84	0.02	0.03	0.07	0.99	0.83	True
GCF_009664045	5272	5173	2	genus	0.86	0.84	0.27	0.13	0.31	0.95	0.8	True
GCF_016504115	4673	4588	24	genus	0.86	0.85	0.02	0.04	0.08	0.96	0.81	True
GCF_013612875	5244	5048	5	family	0.92	0.89	0.08	0.03	0.05	0.92	0.82	True
GCF_018423095	6087	5923	970	family	0.92	0.9	0.51	0.02	0.05	0.94	0.84	False
GCF_003255895	4547	4486	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCF_001034485	4577	4533	4	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCF_015674155	5149	5023	8	genus	0.84	0.82	0.05	0.1	0.22	0.95	0.78	True
GCF_016504735	4705	4604	34	genus	0.86	0.84	0.02	0.03	0.06	0.96	0.81	True
GCF_016502055	5091	4995	80	genus	0.86	0.84	0.17	0.09	0.21	0.95	0.8	True
SG18_265_S115	4497	4434	48	genus	0.85	0.84	0.09	0.06	0.14	0.94	0.79	True
GCF_013741395	5415	5155	5	genus	0.85	0.81	0.1	0.1	0.24	0.95	0.76	True
GCF_000027085	5105	5023	4	kingdom	1.0	0.98	0.0	0.0	0.0	0.98	0.96	True
GCF_008364715	4820	4765	45	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCF_014902035	5429	5206	25	family	0.91	0.88	0.35	0.02	0.05	0.94	0.82	True
GCF_902381795	4654	4580	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.94	0.92	True
GCF_013890155	4702	4630	2	kingdom	1.0	0.98	0.0	0.0	0.0	0.96	0.95	True
GCF_016893745	4272	4205	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.99	0.97	True
GCF_901456255	5003	4882	5	genus	0.89	0.86	0.01	0.11	0.26	0.95	0.82	True
GCF_016504365	4547	4504	3	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
GCF_018106145	4956	4888	88	species	0.85	0.84	0.2	0.05	0.1	0.99	0.83	True
GCF_015231155	5173	5091	74	genus	0.87	0.86	0.32	0.15	0.38	0.95	0.82	True
GCF_014104005	5024	4962	3	genus	0.88	0.87	0.04	0.13	0.32	0.95	0.83	True
GCF_900446875	5103	5010	7	family	0.95	0.93	0.1	0.02	0.05	0.93	0.87	True
GCF_902373845	4723	4642	10	genus	0.87	0.86	0.06	0.06	0.13	0.96	0.82	True
GCF_004353845	5022	4923	3	genus	0.86	0.84	0.02	0.06	0.13	0.95	0.8	True
GCF_013746155	5163	4971	4	genus	0.85	0.82	0.06	0.11	0.26	0.95	0.78	True
GCF_001880845	5156	5014	191	genus	0.83	0.81	0.31	0.08	0.18	0.95	0.77	True
GCF_002919455	4832	4762	24	genus	0.85	0.84	0.13	0.05	0.11	0.95	0.8	True
GCF_014855525	5131	5023	142	family	0.94	0.92	0.58	0.02	0.04	0.94	0.87	False
GCF_013816515	5181	5027	2	genus	0.84	0.82	0.06	0.09	0.21	0.95	0.78	True
GCF_016502265	4820	4760	24	species	0.86	0.85	0.01	0.04	0.08	0.99	0.84	True
GCF_001922445	4666	4633	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCF_013784645	4728	4655	2	genus	0.89	0.88	0.02	0.08	0.19	0.95	0.84	True
SD_9_H6	4560	4479	31	genus	0.89	0.87	0.07	0.06	0.12	0.95	0.83	True
GCF_016859715	4933	4850	88	genus	0.83	0.81	0.22	0.07	0.15	0.95	0.78	True
GCF_015558715	4708	4652	21	genus	0.88	0.87	0.11	0.06	0.14	0.95	0.82	True
GCF_001034465	4789	4603	9	genus	0.84	0.81	0.08	0.07	0.14	0.95	0.77	True
GCF_013899325	5049	4981	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.93	0.92	True
GCF_002947675	4585	4536	2	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
GCF_001413195	5076	4959	52	genus	0.84	0.82	0.07	0.07	0.16	0.95	0.78	True
GCF_014230155	5181	5098	173	family	0.94	0.92	0.81	0.03	0.07	0.94	0.87	False
GCF_001057215	4824	4696	141	genus	0.88	0.85	0.22	0.08	0.18	0.95	0.81	True
ERQ0222	5298	5086	230	family	0.94	0.9	0.68	0.05	0.1	0.93	0.84	False
GCF_013725165	5474	5263	2	family	0.91	0.88	0.05	0.02	0.05	0.94	0.82	True
GCF_001880775	5103	4948	110	family	0.93	0.9	0.7	0.02	0.05	0.94	0.84	False
GCF_017151575	5153	5075	122	genus	0.84	0.83	0.15	0.1	0.22	0.95	0.79	True
GCF_013390245	5340	5119	5	family	0.94	0.9	0.35	0.05	0.11	0.93	0.84	True
GCF_016501745	4563	4515	15	genus	0.88	0.87	0.02	0.03	0.07	0.98	0.86	True
GCF_013794885	5388	5168	4	family	0.94	0.9	0.09	0.02	0.05	0.93	0.84	True
GCF_900638065	4685	4609	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.91	True
GCF_018420455	5355	5208	129	genus	0.83	0.8	0.15	0.09	0.19	0.95	0.76	True
GCF_016502165	4622	4553	44	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
GCF_001413255	5103	4978	131	genus	0.84	0.82	0.22	0.07	0.16	0.95	0.78	True
GCF_902387635	4826	4752	1	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCF_013747755	5126	5014	4	genus	0.85	0.83	0.02	0.09	0.21	0.95	0.79	True
GCF_902807235	4963	4760	144	genus	0.83	0.8	0.11	0.03	0.06	0.96	0.77	True
GCF_019502645	5037	4959	3	family	0.94	0.93	0.74	0.03	0.06	0.95	0.88	False
GCF_000783755	5193	5015	3	family	0.93	0.9	0.4	0.02	0.05	0.94	0.85	True
ERQ0233	5155	4965	131	genus	0.86	0.83	0.22	0.11	0.27	0.95	0.79	True
GCF_016894085	4189	4128	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.97	True
GCF_019800295	4594	4541	41	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
GCF_014104235	5353	5193	6	family	0.93	0.9	0.25	0.04	0.08	0.94	0.84	True
GCF_013741155	5292	5179	5	genus	0.84	0.82	0.02	0.13	0.32	0.95	0.78	True
GCF_900460975	4466	4417	3	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCF_015230675	5212	5131	122	genus	0.87	0.86	0.39	0.16	0.4	0.95	0.82	True
GCF_005280845	4010	3980	78	genus	0.89	0.88	0.12	0.04	0.09	0.97	0.86	True
GCF_014803045	4623	4547	97	genus	0.88	0.87	0.17	0.05	0.11	0.96	0.83	True
GCF_902387995	5457	5379	4	species	0.71	0.7	0.47	0.15	0.37	0.96	0.68	False
GCF_009876815	4602	4530	24	species	0.85	0.83	0.01	0.03	0.07	0.99	0.83	True
GCF_015549445	4594	4541	22	genus	0.86	0.85	0.19	0.04	0.07	0.95	0.81	True
GCF_018447685	5428	5280	99	family	0.93	0.91	0.34	0.02	0.05	0.93	0.84	True
GCF_014803335	5382	5182	451	genus	0.86	0.83	0.34	0.12	0.28	0.95	0.79	True
GCF_905329885	5185	5056	6	family	0.94	0.92	0.12	0.02	0.05	0.94	0.86	True
GCF_019448455	4892	4795	72	genus	0.88	0.86	0.38	0.1	0.24	0.94	0.81	True
GCF_020889125	4911	4831	112	genus	0.88	0.86	0.23	0.09	0.21	0.95	0.82	True
GCF_000759815	4961	4876	138	species	0.91	0.9	0.03	0.04	0.09	0.99	0.89	True
GCF_001558935	4772	4732	2	kingdom	1.0	0.99	0.0	0.0	0.0	0.99	0.98	True
GCF_016939615	5276	5140	5	family	0.93	0.91	0.57	0.03	0.07	0.94	0.85	False
GCF_016505125	4487	4445	38	kingdom	1.0	0.99	0.0	0.0	0.0	0.97	0.96	True
GCF_005281265	4731	4666	67	genus	0.85	0.84	0.05	0.03	0.06	0.96	0.8	True
GCF_002151735	4727	4661	2	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.92	True
GCF_018446835	4920	4850	98	genus	0.87	0.86	0.24	0.08	0.18	0.95	0.82	True
GCF_021729115	4761	4683	4	kingdom	1.0	0.98	0.0	0.0	0.0	0.93	0.92	True
GCF_001413095	5218	5077	161	genus	0.85	0.83	0.32	0.1	0.22	0.95	0.78	True
GCF_014855535	4776	4709	35	genus	0.84	0.83	0.02	0.03	0.06	0.96	0.8	True
GCF_005280945	4562	4492	118	genus	0.88	0.86	0.18	0.09	0.19	0.94	0.81	True
ERQ0689	5523	5289	176	family	0.9	0.86	0.45	0.03	0.06	0.93	0.8	False
GCF_018422455	4538	4497	54	kingdom	1.0	0.99	0.0	0.0	0.0	0.98	0.97	True
GCF_001880865	5729	5512	328	family	0.91	0.88	0.82	0.03	0.07	0.93	0.82	False
GCF_001034475	5149	5045	5	genus	0.85	0.84	0.26	0.12	0.29	0.95	0.79	True
GCF_016504515	4664	4617	27	genus	0.86	0.85	0.1	0.04	0.08	0.95	0.82	True
GCF_016905875	5221	5122	186	genus	0.86	0.84	0.47	0.11	0.26	0.95	0.8	False
GCF_013618825	4777	4728	78	species	0.89	0.88	0.07	0.03	0.06	0.99	0.88	True
GCF_014104375	5052	4901	12	genus	0.79	0.77	0.02	0.03	0.07	0.96	0.74	True
GCF_001412825	5010	4896	152	genus	0.83	0.81	0.23	0.05	0.1	0.95	0.77	True
GCF_001559235	4394	4343	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.93	0.92	True
GCF_004152635	5200	5053	301	family	0.95	0.92	0.59	0.03	0.06	0.93	0.86	False
GCF_013882995	4294	4247	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.92	0.91	True
GCF_011077325	4229	4130	44	family	0.94	0.92	0.17	0.06	0.13	0.83	0.77	True
GCF_014230185	5150	5066	146	family	0.93	0.92	0.89	0.02	0.05	0.94	0.86	False
GCF_016504085	4487	4433	20	kingdom	1.0	0.99	0.0	0.0	0.0	0.96	0.95	True
GCF_018138525	4872	4787	105	genus	0.85	0.84	0.19	0.06	0.13	0.95	0.8	True
GCF_000648515	5107	5061	2	family	0.97	0.96	0.78	0.03	0.05	0.99	0.95	False
ERQ0227	5240	5042	159	genus	0.85	0.82	0.25	0.12	0.29	0.95	0.78	True
GCF_010279875	5351	5248	153	genus	0.86	0.84	0.43	0.15	0.38	0.95	0.8	True
GCF_013816335	4725	4675	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.94	0.93	True
GCF_014104775	4235	4196	3	kingdom	1.0	0.99	0.0	0.0	0.0	0.93	0.92	True
GCF_016504825	4585	4539	18	genus	0.88	0.87	0.03	0.03	0.06	0.98	0.86	True
GCF_012524235	4798	4710	3	genus	0.84	0.83	0.02	0.03	0.06	0.95	0.79	True
GCF_013925325	5136	4954	4	genus	0.84	0.81	0.08	0.14	0.35	0.94	0.76	True
GCF_014104155	5327	5129	6	genus	0.84	0.81	0.05	0.12	0.3	0.95	0.77	True
GCF_016504605	4856	4788	37	genus	0.84	0.83	0.14	0.06	0.13	0.95	0.79	True
GCF_002042885	4571	4514	38	genus	0.89	0.87	0.11	0.06	0.12	0.95	0.83	True
GCF_002215385	5506	5396	5	genus	0.8	0.79	0.1	0.11	0.25	0.95	0.75	True
GCF_004331585	4870	4683	52	genus	0.85	0.81	0.12	0.05	0.11	0.95	0.78	True
GCF_018438605	5339	5262	90	family	0.93	0.92	0.69	0.03	0.07	0.95	0.87	False
ERQ0671	5219	4933	178	genus	0.84	0.79	0.35	0.09	0.21	0.95	0.76	True
GCF_001559075	4491	4448	1	kingdom	1.0	0.99	0.0	0.0	0.0	0.95	0.94	True
GCF_016504345	4341	4323	26	genus	0.91	0.9	0.03	0.02	0.05	0.99	0.89	True
GCF_015230695	5208	5126	83	genus	0.87	0.86	0.33	0.16	0.4	0.95	0.82	True
GCF_016503495	4800	4725	34	genus	0.86	0.85	0.06	0.06	0.14	0.95	0.81	True
