snp-dists 0.6.3,152,154,155,156,159,160,161,162,165,166,169,172,173,175,183,186,189,192,199,200,211,212,213,216,217,222,224,225,227,230,233,241,243,246,250,251,255,259,278,310,43,44,45,46,572,671,672,674,677,678,681,682,683,685,689,CABIZU01,CACD01,CP011612,CP011657,CP016952,CP020448,CP022049,CP024672,CP024673,CP024677,CP024679,CP024680,CP024683,CP024819,CP024881,CP024898,CP026045,CP026056,CP026231,CP026235,CP026238,CP026677,CP027849,CP036435,CP042478,CP042517,CP042524,CP042534,DB_3_C10,DB_3_C11,DB_3_C12,DB_3_C9,DB_3_D1,DB_3_D2,DB_3_F10,DB_5_F12,GCF_014332835,GCF_014332855,GCF_014332945,JRHL01000001,JRST01,JYFY02000001,JYFZ02000001,LR699006,LRPR01,NZ_LR890181,SD_5_A12,SD_5_D4,SD_9_B7,SD_9_C7
169,31162,31162,4130,31165,4134,30510,31195,4131,4129,4131,0,30743,31275,31263,30769,31277,31164,30510,4131,31318,4131,31193,4136,4132,4133,30512,4131,31191,31260,31094,31256,31260,31162,4133,31283,4128,31165,31256,31164,31162,31318,30501,31318,31291,3998,4134,4108,4105,4108,31195,31195,31196,31248,31195,31195,31276,4222,31187,31189,31160,26427,4109,31158,31384,31096,31302,31262,31156,26333,31157,30554,26401,31151,31273,4127,30507,30554,31377,31194,31203,31199,31318,31318,31202,31201,31203,31202,31199,31202,31224,31204,32948,32948,32915,4043,31222,31190,31243,26401,31159,31154,4210,31274,4135,31320
172,22220,22220,30693,22226,30693,5129,22237,30692,30692,30692,30743,0,22290,22348,6391,22292,22223,5129,30692,22342,30692,22259,30695,30691,30696,5131,30692,22222,22172,22208,22164,22186,22221,30694,22248,30691,22224,22343,22223,22220,22407,5132,22407,22423,30691,30697,30701,30699,30701,22224,22224,22225,22280,22224,22224,22327,30740,22229,22231,22218,28882,30685,22406,22208,22210,22388,22325,22152,28731,22152,5339,28862,22146,22297,30692,5125,5339,22202,22236,22235,22231,22407,22407,22229,22227,22227,22228,22225,22228,22211,22230,36349,36349,36295,30607,22316,22234,22392,28862,22407,22221,30729,22288,30691,22413
173,3777,3777,31212,3782,31212,22078,3639,31213,31210,31213,31275,22290,0,4047,22467,2,3779,22078,31213,4384,31213,3817,31218,31212,31211,22080,31213,3889,5600,3876,5592,5395,3778,31215,3871,31210,3780,4036,3779,3777,4201,22067,4201,4166,31225,31212,31156,31153,31156,3892,3892,3893,3948,3892,3892,3405,31241,3631,3633,3777,29915,31159,4066,5614,3878,4370,4318,5119,29825,5120,22159,29896,5115,122,31211,22074,22159,5609,3639,3787,3783,4198,4198,3897,3895,3897,3896,3893,3896,3739,3898,31831,31831,31805,31144,4061,3636,4116,29896,4065,3755,31232,4005,31182,4202
175,3976,3976,31205,3981,31205,22105,4075,31206,31203,31206,31263,22348,4047,0,22494,4049,3978,22105,31206,3639,31206,4014,31211,31205,31208,22107,31206,4035,6067,4160,6059,5911,3977,31208,3957,31203,3979,97,3978,3976,3571,22093,3571,4294,31201,31209,31158,31155,31158,4038,4038,4039,4094,4038,4038,4163,31228,4066,4068,3976,29947,31156,4391,6045,4163,3615,3527,5646,29844,5647,22187,29881,5642,4060,31204,22101,22187,6038,4074,3947,3943,3569,3568,4043,4041,4041,4042,4039,4042,4140,4044,31896,31896,31889,31141,3378,4071,3627,29881,4390,3904,31255,4279,31193,3572
183,22424,22424,30720,22428,30720,6364,22431,30719,30719,30719,30769,6391,22467,22494,0,22469,22427,6364,30719,22518,30719,22461,30723,30718,30723,6366,30719,22415,22325,22396,22315,22332,22425,30721,22421,30718,22428,22493,22427,22424,22561,6360,22561,22595,30727,30724,30737,30735,30737,22417,22417,22418,22473,22417,22417,22485,30771,22424,22426,22423,28895,30715,22524,22352,22398,22550,22519,22344,28766,22344,6245,28903,22339,22472,30719,6360,6245,22346,22431,22393,22389,22559,22559,22422,22420,22420,22421,22418,22421,22389,22423,36534,36534,36491,30656,22468,22429,22536,28903,22525,22372,30748,22466,30712,22565
186,3779,3779,31214,3784,31214,22080,3641,31215,31212,31215,31277,22292,2,4049,22469,0,3781,22080,31215,4386,31215,3819,31220,31214,31213,22082,31215,3891,5602,3878,5594,5397,3780,31217,3873,31212,3782,4038,3781,3779,4203,22069,4203,4168,31227,31214,31158,31155,31158,3894,3894,3895,3950,3894,3894,3407,31243,3633,3635,3779,29917,31161,4068,5616,3880,4372,4320,5121,29827,5122,22161,29898,5117,124,31213,22076,22161,5611,3641,3789,3785,4200,4200,3899,3897,3899,3898,3895,3898,3741,3900,31833,31833,31807,31146,4063,3638,4118,29898,4067,3757,31234,4007,31184,4204
189,64,64,31100,3,31100,22017,3797,31101,31098,31101,31164,22223,3779,3978,22427,3781,0,22017,31101,4102,31101,112,31106,31100,31101,22019,31101,3306,5409,3567,5401,5360,65,31103,3786,31098,3,3984,0,34,4158,22005,4158,3953,31123,31102,31056,31053,31056,3309,3309,3310,3365,3309,3309,3826,31135,3788,3790,74,29860,31064,4048,5426,3570,4128,4095,5014,29755,5015,22099,29795,5010,3793,31099,22013,22099,5422,3796,3618,3614,4156,4155,3314,3312,3314,3313,3310,3313,3409,3315,31762,31762,31754,31052,3890,3793,3975,29795,4047,3645,31133,4081,31075,4159
192,22014,22014,30466,22020,30466,0,22050,30465,30465,30465,30510,5129,22078,22105,6364,22080,22017,0,30465,22137,30465,22053,30468,30464,30469,4,30465,22033,21944,22018,21937,21980,22015,30467,22058,30464,22018,22099,22017,22014,22175,42,22175,22235,30452,30470,30465,30463,30465,22035,22035,22036,22091,22035,22035,22116,30510,22042,22044,22015,28864,30439,22171,21982,22020,22187,22129,21945,28727,21945,5017,28842,21941,22085,30465,20,5017,21976,22049,22049,22045,22173,22173,22040,22038,22040,22039,22036,22039,21995,22041,36277,36277,36224,30389,22103,22047,22135,28842,22172,22030,30496,22124,30456,22179
199,31099,31099,9,31102,19,30465,31119,0,14,0,4131,30692,31213,31206,30719,31215,31101,30465,0,31241,0,31130,13,17,28,30467,0,31117,31196,31028,31190,31152,31099,18,31202,7,31102,31199,31101,31099,31247,30462,31247,31240,4048,27,3656,3653,3656,31123,31123,31124,31176,31123,31123,31212,3505,31110,31112,31097,26377,3289,31091,31307,31030,31229,31184,31081,26304,31080,30511,26377,31076,31211,22,30462,30511,31300,31117,31136,31132,31247,31247,31130,31129,31131,31130,31127,31130,31165,31132,32920,32920,32859,3572,31173,31113,31159,26377,31092,31093,3692,31191,3479,31249
200,4100,4100,31238,4105,31240,22137,4247,31241,31238,31241,31318,22342,4384,3639,22518,4386,4102,22137,31241,0,31241,4139,31246,31240,31243,22139,31241,4225,6014,4237,6006,5973,4101,31243,4181,31236,4103,3636,4102,4100,3729,22128,3729,4436,31223,31244,31202,31199,31202,4228,4228,4229,4284,4228,4228,4142,31256,4238,4240,4100,29957,31192,4427,5986,4239,3692,3788,5685,29866,5686,22230,29897,5681,4398,31239,22133,22230,5982,4246,4046,4042,3727,3726,4233,4231,4233,4232,4229,4232,4263,4234,31936,31936,31914,31168,3524,4243,3714,29897,4426,4098,31281,4454,31211,3730
211,31099,31099,9,31102,19,30465,31119,0,14,0,4131,30692,31213,31206,30719,31215,31101,30465,0,31241,0,31130,13,17,28,30467,0,31117,31196,31028,31190,31152,31099,18,31202,7,31102,31199,31101,31099,31247,30462,31247,31240,4048,27,3656,3653,3656,31123,31123,31124,31176,31123,31123,31212,3505,31110,31112,31097,26377,3289,31091,31307,31030,31229,31184,31081,26304,31080,30511,26377,31076,31211,22,30462,30511,31300,31117,31136,31132,31247,31247,31130,31129,31131,31130,31127,31130,31165,31132,32920,32920,32859,3572,31173,31113,31159,26377,31092,31093,3692,31191,3479,31249
212,110,110,31129,115,31129,22053,3834,31130,31127,31130,31193,22259,3817,4014,22461,3819,112,22053,31130,4139,31130,0,31135,31129,31130,22055,31130,3344,5445,3604,5437,5396,111,31132,3819,31127,113,4020,112,110,4194,22041,4194,3988,31152,31131,31085,31082,31085,3347,3347,3348,3403,3347,3347,3864,31166,3825,3827,112,29895,31093,4086,5462,3607,4162,4132,5050,29790,5051,22136,29832,5046,3831,31128,22049,22136,5458,3833,3655,3651,4192,4191,3352,3350,3352,3351,3348,3351,3447,3353,31797,31797,31784,31081,3927,3830,4012,29832,4085,3681,31164,4116,31106,4195
213,31104,31104,14,31107,24,30468,31124,13,19,13,4136,30695,31218,31211,30723,31220,31106,30468,13,31246,13,31135,0,22,33,30470,13,31122,31199,31033,31193,31157,31104,23,31207,12,31107,31204,31106,31104,31252,30465,31252,31245,4053,32,3661,3658,3661,31128,31128,31129,31181,31128,31128,31217,3510,31115,31117,31102,26382,3294,31096,31310,31035,31234,31189,31086,26309,31085,30514,26382,31081,31216,27,30465,30514,31303,31122,31141,31137,31252,31252,31135,31134,31136,31135,31132,31135,31170,31137,32925,32925,32864,3577,31178,31118,31164,26382,31097,31098,3697,31196,3484,31254
216,31098,31098,18,31101,2,30464,31116,17,17,17,4132,30691,31212,31205,30718,31214,31100,30464,17,31240,17,31129,22,0,29,30466,17,31116,31195,31027,31189,31151,31098,5,31201,16,31101,31198,31100,31098,31246,30461,31246,31239,4049,28,3657,3654,3657,31122,31122,31123,31175,31122,31122,31211,3506,31107,31109,31096,26378,3290,31090,31306,31029,31228,31181,31080,26305,31079,30510,26378,31075,31210,23,30461,30510,31299,31114,31133,31129,31246,31246,31129,31128,31130,31129,31126,31129,31164,31131,32921,32921,32860,3573,31172,31110,31158,26378,31091,31090,3693,31190,3480,31248
217,31099,31099,27,31102,31,30469,31119,28,26,28,4133,30696,31211,31208,30723,31213,31101,30469,28,31243,28,31130,33,29,0,30471,28,31119,31198,31030,31192,31154,31099,30,31202,25,31102,31201,31101,31099,31249,30466,31249,31242,4052,3,3658,3655,3658,31125,31125,31126,31178,31125,31125,31212,3509,31110,31112,31097,26382,3293,31091,31309,31032,31231,31186,31083,26308,31082,30515,26380,31078,31209,26,30466,30515,31302,31117,31138,31134,31249,31249,31132,31131,31133,31132,31129,31132,31165,31134,32924,32924,32863,3576,31175,31113,31161,26380,31092,31095,3694,31193,3485,31251
222,22016,22016,30468,22022,30468,4,22052,30467,30467,30467,30512,5131,22080,22107,6366,22082,22019,4,30467,22139,30467,22055,30470,30466,30471,0,30467,22035,21946,22020,21939,21982,22017,30469,22060,30466,22020,22101,22019,22016,22177,44,22177,22237,30454,30472,30467,30465,30467,22037,22037,22038,22093,22037,22037,22118,30512,22044,22046,22017,28866,30441,22173,21984,22022,22189,22131,21947,28729,21947,5019,28844,21943,22087,30467,22,5019,21978,22051,22051,22047,22175,22175,22042,22040,22042,22041,22038,22041,21997,22043,36279,36279,36226,30391,22105,22049,22137,28844,22174,22032,30498,22126,30458,22181
224,31099,31099,9,31102,19,30465,31119,0,14,0,4131,30692,31213,31206,30719,31215,31101,30465,0,31241,0,31130,13,17,28,30467,0,31117,31196,31028,31190,31152,31099,18,31202,7,31102,31199,31101,31099,31247,30462,31247,31240,4048,27,3656,3653,3656,31123,31123,31124,31176,31123,31123,31212,3505,31110,31112,31097,26377,3289,31091,31307,31030,31229,31184,31081,26304,31080,30511,26377,31076,31211,22,30462,30511,31300,31117,31136,31132,31247,31247,31130,31129,31131,31130,31127,31130,31165,31132,32920,32920,32859,3572,31173,31113,31159,26377,31092,31093,3692,31191,3479,31249
225,3304,3304,31116,3309,31116,22033,3845,31117,31114,31117,31191,22222,3889,4035,22415,3891,3306,22033,31117,4225,31117,3344,31122,31116,31119,22035,31117,0,5425,3656,5418,5193,3305,31119,3866,31114,3307,4038,3306,3304,4146,22021,4146,4017,31119,31120,31088,31085,31088,15,15,16,71,15,15,3815,31163,3836,3838,3304,29903,31067,4169,5384,3658,4191,4159,5078,29805,5079,22138,29853,5074,3903,31115,22029,22138,5380,3844,3651,3647,4143,4143,46,44,46,45,42,45,3760,47,31757,31757,31752,31061,4009,3841,3992,29853,4168,3689,31168,4092,31105,4147
227,5407,5407,31195,5412,31195,21944,5441,31196,31193,31196,31260,22172,5600,6067,22325,5602,5409,21944,31196,6014,31196,5445,31199,31195,31198,21946,31196,5425,0,5396,39,4285,5408,31198,5615,31193,5410,6044,5409,5407,5866,21936,5866,5702,31201,31199,31126,31123,31126,5428,5428,5429,5484,5428,5428,5409,31207,5433,5435,5407,29949,31148,5621,2922,5398,6011,5973,4351,29832,4352,22031,29913,4347,5613,31194,21940,22031,2917,5441,5573,5569,5864,5863,5433,5431,5433,5432,5429,5432,5403,5434,31972,31972,31971,31145,5969,5438,5952,29913,5618,5621,31213,5398,31142,5867
230,3565,3565,31027,3570,31027,22018,3862,31028,31025,31028,31094,22208,3876,4160,22396,3878,3567,22018,31028,4237,31028,3604,31033,31027,31030,22020,31028,3656,5396,0,5388,5361,3566,31030,3912,31025,3568,4145,3567,3565,4243,22009,4243,4258,31033,31031,30980,30977,30980,3659,3659,3660,3715,3659,3659,3700,31039,3853,3855,3565,29854,30973,4087,5481,26,4065,4265,5040,29766,5041,22095,29805,5036,3890,31026,22014,22095,5476,3861,3611,3607,4240,4240,3664,3662,3662,3663,3660,3663,3815,3665,31759,31759,31735,30941,4036,3858,4099,29805,4086,3653,31055,3992,31005,4244
233,5399,5399,31189,5404,31189,21937,5433,31190,31187,31190,31256,22164,5592,6059,22315,5594,5401,21937,31190,6006,31190,5437,31193,31189,31192,21939,31190,5418,39,5388,0,4277,5400,31192,5607,31187,5402,6036,5401,5399,5858,21929,5858,5694,31195,31193,31120,31117,31120,5421,5421,5422,5477,5421,5421,5402,31203,5425,5427,5399,29941,31142,5614,2913,5390,6003,5965,4343,29824,4344,22024,29908,4339,5605,31188,21933,22024,2908,5433,5565,5561,5856,5855,5426,5424,5426,5425,5422,5425,5395,5427,31965,31965,31964,31139,5961,5430,5944,29908,5611,5613,31207,5390,31136,5859
241,5358,5358,31151,5363,31151,21980,5357,31152,31149,31152,31260,22186,5395,5911,22332,5397,5360,21980,31152,5973,31152,5396,31157,31151,31154,21982,31152,5193,4285,5361,4277,0,5359,31154,5448,31149,5361,5898,5360,5358,5910,21969,5910,5593,31222,31155,31119,31116,31119,5196,5196,5197,5252,5196,5196,5517,31198,5349,5351,5354,29911,31138,5638,4383,5363,5874,5900,3384,29808,3385,22066,29884,3380,5409,31150,21976,22066,4378,5357,5470,5466,5908,5907,5201,5199,5201,5200,5197,5200,5268,5202,31835,31835,31804,31126,5866,5354,5807,29884,5635,5558,31208,5266,31130,5911
243,5,5,31098,68,31098,22015,3796,31099,31096,31099,31162,22221,3778,3977,22425,3780,65,22015,31099,4101,31099,111,31104,31098,31099,22017,31099,3305,5408,3566,5400,5359,0,31101,3785,31096,66,3983,65,63,4157,22003,4157,3952,31121,31100,31054,31051,31054,3308,3308,3309,3364,3308,3308,3825,31135,3787,3789,73,29861,31062,4047,5425,3569,4127,4094,5013,29756,5014,22098,29798,5009,3792,31097,22011,22098,5421,3795,3617,3613,4155,4154,3313,3311,3313,3312,3309,3312,3408,3314,31762,31762,31752,31050,3889,3792,3974,29798,4046,3644,31133,4080,31075,4158
246,31101,31101,19,31104,7,30467,31119,18,18,18,4133,30694,31215,31208,30721,31217,31103,30467,18,31243,18,31132,23,5,30,30469,18,31119,31198,31030,31192,31154,31101,0,31204,17,31104,31201,31103,31101,31249,30464,31249,31242,4050,29,3658,3655,3658,31125,31125,31126,31178,31125,31125,31214,3507,31110,31112,31099,26379,3291,31093,31309,31032,31231,31184,31083,26306,31082,30513,26379,31078,31213,24,30464,30513,31302,31117,31136,31132,31249,31249,31132,31131,31133,31132,31129,31132,31167,31134,32922,32922,32861,3574,31175,31113,31161,26379,31094,31093,3694,31193,3481,31251
250,3784,3784,31201,3789,31201,22058,3723,31202,31199,31202,31283,22248,3871,3957,22421,3873,3786,22058,31202,4181,31202,3819,31207,31201,31202,22060,31202,3866,5615,3912,5607,5448,3785,31204,0,31199,3787,3950,3786,3784,4093,22043,4093,4030,31187,31203,31156,31153,31156,3869,3869,3870,3925,3869,3869,3681,31214,3714,3716,3784,29965,31137,4102,5511,3914,4160,4227,5163,29861,5163,22169,29921,5159,3885,31200,22054,22169,5507,3722,3897,3893,4090,4090,3874,3872,3874,3873,3870,3873,3800,3875,31827,31827,31804,31147,3915,3719,4000,29921,4101,3853,31245,4055,31176,4094
251,31096,31096,2,31099,18,30464,31116,7,11,7,4128,30691,31210,31203,30718,31212,31098,30464,7,31236,7,31127,12,16,25,30466,7,31114,31193,31025,31187,31149,31096,17,31199,0,31099,31196,31098,31096,31244,30461,31244,31237,4045,24,3653,3650,3653,31120,31120,31121,31173,31120,31120,31209,3502,31107,31109,31094,26376,3288,31088,31304,31027,31226,31181,31078,26303,31077,30510,26376,31073,31208,19,30461,30510,31297,31114,31133,31129,31244,31244,31127,31126,31128,31127,31124,31127,31162,31129,32917,32917,32856,3569,31170,31110,31154,26376,31089,31090,3689,31188,3478,31246
255,65,65,31101,6,31101,22018,3798,31102,31099,31102,31165,22224,3780,3979,22428,3782,3,22018,31102,4103,31102,113,31107,31101,31102,22020,31102,3307,5410,3568,5402,5361,66,31104,3787,31099,0,3985,3,35,4159,22006,4159,3954,31124,31103,31057,31054,31057,3310,3310,3311,3366,3310,3310,3827,31136,3789,3791,75,29861,31065,4049,5427,3571,4129,4096,5015,29756,5016,22100,29796,5011,3794,31100,22014,22100,5423,3797,3619,3615,4157,4156,3315,3313,3315,3314,3311,3314,3410,3316,31763,31763,31755,31053,3891,3794,3976,29796,4048,3646,31134,4082,31076,4160
259,3982,3982,31198,3987,31198,22099,4066,31199,31196,31199,31256,22343,4036,97,22493,4038,3984,22099,31199,3636,31199,4020,31204,31198,31201,22101,31199,4038,6044,4145,6036,5898,3983,31201,3950,31196,3985,0,3984,3982,3542,22087,3542,4279,31197,31202,31152,31149,31152,4041,4041,4042,4096,4041,4041,4152,31221,4057,4059,3982,29936,31148,4388,6034,4148,3588,3508,5637,29834,5638,22182,29866,5633,4049,31197,22095,22182,6027,4065,3949,3945,3540,3539,4046,4044,4044,4045,4042,4045,4129,4047,31886,31886,31880,31133,3363,4062,3612,29866,4387,3906,31248,4271,31191,3543
278,64,64,31100,3,31100,22017,3797,31101,31098,31101,31164,22223,3779,3978,22427,3781,0,22017,31101,4102,31101,112,31106,31100,31101,22019,31101,3306,5409,3567,5401,5360,65,31103,3786,31098,3,3984,0,34,4158,22005,4158,3953,31123,31102,31056,31053,31056,3309,3309,3310,3365,3309,3309,3826,31135,3788,3790,74,29860,31064,4048,5426,3570,4128,4095,5014,29755,5015,22099,29795,5010,3793,31099,22013,22099,5422,3796,3618,3614,4156,4155,3314,3312,3314,3313,3310,3313,3409,3315,31762,31762,31754,31052,3890,3793,3975,29795,4047,3645,31133,4081,31075,4159
310,62,62,31098,37,31098,22014,3795,31099,31096,31099,31162,22220,3777,3976,22424,3779,34,22014,31099,4100,31099,110,31104,31098,31099,22016,31099,3304,5407,3565,5399,5358,63,31101,3784,31096,35,3982,34,0,4156,22002,4156,3951,31121,31100,31054,31051,31054,3307,3307,3308,3363,3307,3307,3824,31133,3786,3788,72,29860,31062,4046,5424,3568,4126,4093,5012,29753,5013,22096,29795,5008,3791,31097,22010,22096,5420,3794,3616,3612,4154,4153,3312,3310,3312,3311,3308,3311,3407,3313,31764,31764,31752,31050,3888,3791,3973,29795,4045,3643,31131,4079,31072,4157
43,4156,4156,31246,4161,31246,22175,4046,31247,31244,31247,31318,22407,4201,3571,22561,4203,4158,22175,31247,3729,31247,4194,31252,31246,31249,22177,31247,4146,5866,4243,5858,5910,4157,31249,4093,31244,4159,3542,4158,4156,0,22175,0,4302,31257,31250,31210,31207,31210,4149,4149,4150,4205,4149,4149,4241,31276,4037,4039,4156,30002,31194,4420,5951,4245,3573,3652,5546,29914,5547,22284,29960,5542,4215,31245,22171,22284,5947,4045,4113,4109,26,25,4154,4152,4154,4153,4150,4153,4132,4155,31919,31919,31880,31175,3511,4042,3446,29960,4419,4038,31307,4299,31243,49
44,22002,22002,30463,22008,30463,42,22049,30462,30462,30462,30501,5132,22067,22093,6360,22069,22005,42,30462,22128,30462,22041,30465,30461,30466,44,30462,22021,21936,22009,21929,21969,22003,30464,22043,30461,22006,22087,22005,22002,22175,0,22175,22219,30451,30467,30461,30459,30461,22023,22023,22024,22079,22023,22023,22111,30504,22041,22043,22003,28853,30438,22161,21983,22011,22171,22123,21951,28716,21951,5009,28831,21947,22074,30462,38,5009,21977,22048,22037,22033,22173,22173,22028,22026,22028,22027,22024,22027,21984,22029,36262,36262,36206,30389,22092,22046,22132,28831,22162,22018,30493,22107,30455,22179
