name	scheme	ST	allele1	allele2	allele3	allele4	allele5	allele6	allele7	ST_new	bacsort_species	match	collection	Int_Ext	biosample	Source	Country	Date	strain	Flag	Source_img
GCF_013925725	cfreundii	-	aspC(~148)	clpX(~52)	fadD(58)	mdh(119)	arcA(38)	dnaG(~125)	lysP(37)	placeholder_ST5	Citrobacter braakii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_901456235	cfreundii	21	aspC(14)	clpX(16)	fadD(19)	mdh(1)	arcA(1)	dnaG(13)	lysP(16)	21	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMEA5578856	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_018439045	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17371840	Human	Germany	2017	NRZ-38954	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Germany.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_008931625	cfreundii	95	aspC(51)	clpX(53)	fadD(33)	mdh(15)	arcA(5)	dnaG(6)	lysP(5)	95	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_013724985	cfreundii	-	aspC(~141)	clpX(~154)	fadD(~175)	mdh(~132)	arcA(71)	dnaG(~136)	lysP(~145)	placeholder_ST6	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148754	Environment	United Kingdom	2017	RHBSTW-00968	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/United_Kindgom.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_020809005	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN21601121	Human	China	2020	DY2010	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/china.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_902498925	cfreundii	-	aspC(~178)	clpX(~152)	fadD(214)	mdh(~178)	arcA(~75)	dnaG(-)	lysP(~187)	placeholder_ST7	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMEA5956034	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_018919595	cfreundii	-	aspC(148)	clpX(141)	fadD(104)	mdh(84)	arcA(57)	dnaG(75)	lysP(94)	placeholder_ST8	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN19645714	Human	"NA"	2016	S44_ASV_140	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_014855955	cfreundii	-	aspC(~101)	clpX(67)	fadD(35)	mdh(13)	arcA(7)	dnaG(6)	lysP(11)	placeholder_ST9	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN12220000	Other	Germany	2014	CF14650	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Germany.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/other.png
GCF_905338045	cfreundii	-	aspC(76)	clpX(12)	fadD(7)	mdh(48)	arcA(49)	dnaG(9)	lysP(11)	placeholder_ST10	Citrobacter freundii	100.00%	RefSeq	Ext	SAMEA8158485	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_016500575	cfreundii	307	aspC(142)	clpX(150)	fadD(182)	mdh(140)	arcA(79)	dnaG(6)	lysP(74)	307	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16340032	Human	USA	2019	CB00197	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_002151755	cfreundii	-	aspC(67)	clpX(67)	fadD(~73)	mdh(12)	arcA(~7)	dnaG(11)	lysP(11)	placeholder_ST11	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
ERQ0166	cfreundii	110	aspC(61)	clpX(61)	fadD(68)	mdh(40)	arcA(30)	dnaG(38)	lysP(56)	110	Citrobacter braakii	99.68%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_016892575	cfreundii	-	aspC(89)	clpX(~118)	fadD(~55)	mdh(3)	arcA(3)	dnaG(1)	lysP(167)	placeholder_ST12	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN17321484	Plant	USA	2020	RIT 805	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	Plant
GCF_013899385	cfreundii	-	aspC(9)	clpX(3)	fadD(4)	mdh(157)	arcA(93)	dnaG(153)	lysP(106)	placeholder_ST13	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN15148084	Bovine	United Kingdom	2017	RHB12-C18	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/United_Kindgom.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/cow.png
GCF_013725595	cfreundii	-	aspC(10)	clpX(12)	fadD(7)	mdh(6)	arcA(5)	dnaG(~11)	lysP(11)	placeholder_ST14	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15148747	Environment	United Kingdom	2017	RHBSTW-00935	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/United_Kindgom.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_005281355	cfreundii	-	aspC(22)	clpX(128)	fadD(150)	mdh(98?)	arcA(~45)	dnaG(~112)	lysP(22)	placeholder_ST15	Citrobacter werkmanii	100.00%	RefSeq	Ext	SAMN11369619	"NA"	Poland	"NA"	wls615	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/poland.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_016504815	cfreundii	-	aspC(103)	clpX(54)	fadD(203)	mdh(~148)	arcA(34)	dnaG(170)	lysP(~176)	placeholder_ST16	Citrobacter europaeus	100.00%	RefSeq	Ext	SAMN10435596	Human	USA	2017	CB00053	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016859905	cfreundii	-	aspC(15)	clpX(~63)	fadD(13)	mdh(12)	arcA(7)	dnaG(54)	lysP(5)	placeholder_ST17	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_000521965	cfreundii	98	aspC(54)	clpX(55)	fadD(60)	mdh(52)	arcA(7)	dnaG(6)	lysP(11)	98	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_004004805	cfreundii	98	aspC(54)	clpX(55)	fadD(60)	mdh(52)	arcA(7)	dnaG(6)	lysP(11)	98	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_014803105	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205296	Human	France	2018	169B1	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/france.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_013749535	cfreundii	481	aspC(127)	clpX(10)	fadD(13)	mdh(153)	arcA(7)	dnaG(6)	lysP(11)	481	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15148611	Environment	United Kingdom	2017	RHBSTW-00435	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/United_Kindgom.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_001037585	cfreundii	328	aspC(4)	clpX(4)	fadD(108)	mdh(7)	arcA(6)	dnaG(81)	lysP(59)	328	Citrobacter portucalensis	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_001721255	cfreundii	-	aspC(57)	clpX(60)	fadD(~54)	mdh(104)	arcA(11)	dnaG(~21)	lysP(~24)	placeholder_ST18	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN05213497	Human	Pakistan	2013	CFSAN044567	Pakistan	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_008931685	cfreundii	95	aspC(51)	clpX(53)	fadD(33)	mdh(15)	arcA(5)	dnaG(6)	lysP(5)	95	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_900079795	cfreundii	-	aspC(~178)	clpX(~152)	fadD(214)	mdh(~178)	arcA(~75)	dnaG(-)	lysP(185)	placeholder_ST19	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMEA3932380	"NA"	"NA"	"NA"	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_014803115	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205293	Human	France	2018	164F1	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/france.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_018066565	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN18511096	Human	USA	2020	2021EL-00125	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_005281175	cfreundii	-	aspC(33)	clpX(~33)	fadD(36)	mdh(32)	arcA(14)	dnaG(~29)	lysP(19)	placeholder_ST20	Citrobacter youngae	100.00%	RefSeq	Ext	SAMN11369620	"NA"	Poland	"NA"	wls617	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/poland.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
GCF_003990165	cfreundii	170	aspC(81)	clpX(85)	fadD(12)	mdh(11)	arcA(47)	dnaG(8)	lysP(79)	170	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN10613770	Reptile	China	2017	CQ-CP1	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/china.png	Reptile
GCF_002051555	cfreundii	129	aspC(7)	clpX(6)	fadD(76)	mdh(45)	arcA(3)	dnaG(45)	lysP(63)	129	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN06603405	Avian	Bangladesh	2015	NR-12	Bangladesh	Avian
GCF_016905775	cfreundii	65	aspC(16)	clpX(17)	fadD(20)	mdh(48)	arcA(12)	dnaG(11)	lysP(46)	65	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16933268	Human	Czech Republic	2018	CF47462	Czech Republic	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016505335	cfreundii	183	aspC(23)	clpX(89)	fadD(98)	mdh(19)	arcA(60)	dnaG(34)	lysP(23)	183	Citrobacter youngae	100.00%	RefSeq	Ext	SAMN10435568	Human	USA	2017	CB00024	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_001022155	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN03733741	Human	USA	2010	CAV1321	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_002192675	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN06009454	Environment	USA	2011	DPB_2	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_014101295	cfreundii	-	aspC(~141)	clpX(~154)	fadD(~175)	mdh(132)	arcA(71)	dnaG(~139)	lysP(~145)	placeholder_ST21	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148586	Environment	United Kingdom	2017	RHBSTW-00344	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/United_Kindgom.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_005281025	cfreundii	-	aspC(21)	clpX(106)	fadD(~29)	mdh(~87)	arcA(~16)	dnaG(~17)	lysP(21)	placeholder_ST22	Citrobacter werkmanii	100.00%	RefSeq	Ext	SAMN11369632	"NA"	Poland	"NA"	wls714	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/poland.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
ERQ0156	cfreundii	150	aspC(10)	clpX(12)	fadD(13)	mdh(10)	arcA(10)	dnaG(9)	lysP(11)	150	Citrobacter freundii	99.45%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_000937505	cfreundii	23	aspC(16)	clpX(17)	fadD(20)	mdh(16)	arcA(12)	dnaG(11)	lysP(11)	23	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN03316840	Human	USA	2012	MRSN 12115	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_001880955	cfreundii	18	aspC(10)	clpX(14)	fadD(17)	mdh(12)	arcA(5)	dnaG(5)	lysP(14)	18	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN05447752	Human	Spain	2014	CF_14_ST_18	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/spain.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_018441285	cfreundii	19	aspC(11)	clpX(12)	fadD(14)	mdh(6)	arcA(5)	dnaG(9)	lysP(11)	19	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17372138	Human	Germany	2019	Survcare247	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Germany.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_019270335	cfreundii	356	aspC(61)	clpX(131)	fadD(154)	mdh(116)	arcA(24)	dnaG(133)	lysP(91)	356	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN17824624	Other	Thailand	"NA"	Colony312	Thailand	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/other.png
DB_3_C11	cfreundii	-	aspC(16)	clpX(12)	fadD(7)	mdh(10)	arcA(5)	dnaG(55)	lysP(~5)	placeholder_ST23	Citrobacter freundii	99.47%	Wastewater	Int	"NA"	Wastewater	Australia	2020	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
SD_5_A12	cfreundii	367	aspC(90)	clpX(132)	fadD(104)	mdh(81)	arcA(24)	dnaG(32)	lysP(37)	367	Citrobacter braakii	99.10%	Gull	Int	"NA"	Gull	Australia	2019	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/gull.png
GCF_014802805	cfreundii	22	aspC(15)	clpX(12)	fadD(20)	mdh(15)	arcA(5)	dnaG(11)	lysP(17)	22	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205309	Human	France	2019	195J10	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/france.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_008370125	cfreundii	63	aspC(49)	clpX(50)	fadD(57)	mdh(47)	arcA(33)	dnaG(45)	lysP(16)	63	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN09976800	Reptile	Brazil	2017	ECTV13	Brazil	Reptile
GCF_002903215	cfreundii	110	aspC(61)	clpX(61)	fadD(68)	mdh(40)	arcA(30)	dnaG(38)	lysP(56)	110	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN03455982	"NA"	USA	2014	CFNIH3	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png
ERQ0165	cfreundii	110	aspC(61)	clpX(61)	fadD(68)	mdh(40)	arcA(30)	dnaG(38)	lysP(56)	110	Citrobacter braakii	99.74%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Australia.jpg	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_013792365	cfreundii	98	aspC(54)	clpX(55)	fadD(60)	mdh(52)	arcA(7)	dnaG(6)	lysP(11)	98	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15148495	Environment	United Kingdom	2017	RHBSTW-00119	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/United_Kindgom.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_002863945	cfreundii	-	aspC(~19)	clpX(66)	fadD(75)	mdh(59)	arcA(14)	dnaG(19)	lysP(19)	placeholder_ST24	Citrobacter youngae	100.00%	RefSeq	Ext	SAMN07974441	Human	USA	"NA"	YDC691	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_003400395	cfreundii	30	aspC(23)	clpX(20)	fadD(26)	mdh(18)	arcA(14)	dnaG(19)	lysP(23)	30	Citrobacter youngae	100.00%	RefSeq	Ext	SAMN08623837	Human	USA	2016	CRE89	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_015731115	cfreundii	501	aspC(93)	clpX(177)	fadD(130)	mdh(83)	arcA(117)	dnaG(9)	lysP(115)	501	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16274500	Bovine	China	2019	SC4R	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/china.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/cow.png
GCF_018421715	cfreundii	91	aspC(48)	clpX(10)	fadD(14)	mdh(13)	arcA(32)	dnaG(6)	lysP(11)	91	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17373064	Human	Germany	2019	Survcare396	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/Germany.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_002386385	cfreundii	-	aspC(~141)	clpX(~154)	fadD(~174)	mdh(~132)	arcA(~71)	dnaG(-)	lysP(~149)	placeholder_ST25	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN07312408	Human	USA	2014	FDAARGOS_364	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_019584005	cfreundii	-	aspC(22)	clpX(128)	fadD(25)	mdh(113)	arcA(15)	dnaG(23)	lysP(22)	placeholder_ST26	Citrobacter werkmanii	100.00%	RefSeq	Ext	SAMN11855594	Environment	Nigeria	2017	EC_71	Nigeria	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
GCF_002918575	cfreundii	-	aspC(148)	clpX(~135)	fadD(218)	mdh(40)	arcA(38)	dnaG(~132)	lysP(~142)	placeholder_ST27	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN08395889	Plant	"NA"	"NA"	S649	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/question.png	Plant
GCF_004801125	cfreundii	-	aspC(~130)	clpX(~72)	fadD(165)	mdh(~127)	arcA(44)	dnaG(128)	lysP(~110)	placeholder_ST28	Citrobacter murliniae	100.00%	RefSeq	Ext	SAMN09204092	Human	United Kingdom	2016	P080C CL	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/United_Kindgom.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016500865	cfreundii	-	aspC(~158)	clpX(~14)	fadD(~14)	mdh(6)	arcA(5)	dnaG(11)	lysP(11)	placeholder_ST29	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16340017	Human	USA	2019	CB00179	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_016503635	cfreundii	-	aspC(139)	clpX(22)	fadD(~52)	mdh(41)	arcA(30)	dnaG(132)	lysP(78)	placeholder_ST30	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN12220318	Human	USA	2018	CB00113	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/USA.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/human.png
GCF_004005255	cfreundii	62	aspC(48)	clpX(10)	fadD(14)	mdh(13)	arcA(32)	dnaG(6)	lysP(45)	62	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN10644698	Environmental facility	France	2017	109A3	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Flags/france.png	https://raw.githubusercontent.com/maxlcummins/AVC171/master/images/Icons/wastewater.png
