ID ST_new Cluster__autocolour bacsort_species match collection Int_Ext biosample Source Country Date strain Year_bin Source_simple
GCF_016504815 ST16^^ 30 "Citrobacter europaeus" 100.00% RefSeq Ext SAMN10435596 Human USA 2017 CB00053 2016-2020 Human
GCF_016859905 ST17^^ 31 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_000521965 ST98 32 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_004004805 ST98 33 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_014803105 ST22 34 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16205296 Human France 2018 169B1 2016-2020 Human
GCF_013749535 ST481 35 "Citrobacter freundii" 100.00% RefSeq Ext SAMN15148611 Environment "United Kingdom" 2017 RHBSTW-00435 2016-2020 Environment
GCF_001037585 ST328 36 "Citrobacter portucalensis" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_001721255 ST18^^ 37 "Citrobacter cronae" 100.00% RefSeq Ext SAMN05213497 Human Pakistan 2013 CFSAN044567 2011-2015 Human
GCF_008931685 ST95 38 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_900079795 ST19^^ 39 "Citrobacter amalonaticus" 100.00% RefSeq Ext SAMEA3932380 Unknown Unknown NA NA Unknown Unknown
GCF_014803115 ST22 40 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16205293 Human France 2018 164F1 2016-2020 Human
GCF_018066565 ST22 42 "Citrobacter freundii" 100.00% RefSeq Ext SAMN18511096 Human USA 2020 2021EL-00125 2016-2020 Human
GCF_005281175 ST20^^ 43 "Citrobacter youngae" 100.00% RefSeq Ext SAMN11369620 Unknown Poland NA wls617 Unknown Unknown
GCF_003990165 ST170 44 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN10613770 Reptile China 2017 CQ-CP1 2016-2020 Fish/Reptile
GCF_002051555 ST129 45 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN06603405 Avian Bangladesh 2015 NR-12 2011-2015 Avian
GCF_016905775 ST65 6 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16933268 Human "Czech Republic" 2018 CF47462 2016-2020 Human
GCF_016505335 ST183 46 "Citrobacter youngae" 100.00% RefSeq Ext SAMN10435568 Human USA 2017 CB00024 2016-2020 Human
GCF_001022155 ST22 47 "Citrobacter freundii" 100.00% RefSeq Ext SAMN03733741 Human USA 2010 CAV1321 1983-2010 Human
GCF_002192675 ST22 48 "Citrobacter freundii" 100.00% RefSeq Ext SAMN06009454 Environment USA 2011 DPB_2 2011-2015 Environment
GCF_014101295 ST21^^ 49 "Citrobacter gillenii" 100.00% RefSeq Ext SAMN15148586 Environment "United Kingdom" 2017 RHBSTW-00344 2016-2020 Environment
GCF_005281025 ST22^^ 50 "Citrobacter werkmanii" 100.00% RefSeq Ext SAMN11369632 Unknown Poland NA wls714 Unknown Unknown
ERQ0156 ST150 51 "Citrobacter freundii" 99.45% Wastewater Int NA Wastewater Australia 2019 NA 2016-2020 Wastewater
GCF_000937505 ST23 54 "Citrobacter freundii" 100.00% RefSeq Ext SAMN03316840 Human USA 2012 "MRSN 12115" 2011-2015 Human
GCF_001880955 ST18 55 "Citrobacter freundii" 100.00% RefSeq Ext SAMN05447752 Human Spain 2014 CF_14_ST_18 2011-2015 Human
GCF_018441285 ST19 56 "Citrobacter freundii" 100.00% RefSeq Ext SAMN17372138 Human Germany 2019 Survcare247 2016-2020 Human
GCF_019270335 ST356 57 "Citrobacter braakii" 100.00% RefSeq Ext SAMN17824624 Other Thailand NA Colony312 Unknown Other
DB_3_C11 ST23^^ 58 "Citrobacter freundii" 99.47% Wastewater Int NA Wastewater Australia 2020 NA 2016-2020 Wastewater
SD_5_A12 ST367 59 "Citrobacter braakii" 99.10% Gull Int NA Gull Australia 2019 NA 2016-2020 Gull
GCF_014802805 ST22 60 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16205309 Human France 2019 195J10 2016-2020 Human
GCF_008370125 ST63 61 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN09976800 Reptile Brazil 2017 ECTV13 2016-2020 Fish/Reptile
GCF_002903215 ST110 62 "Citrobacter braakii" 100.00% RefSeq Ext SAMN03455982 Unknown USA 2014 CFNIH3 2011-2015 Unknown
ERQ0165 ST110 63 "Citrobacter braakii" 99.74% Wastewater Int NA Wastewater Australia 2019 NA 2016-2020 Wastewater
GCF_013792365 ST98 64 "Citrobacter freundii" 100.00% RefSeq Ext SAMN15148495 Environment "United Kingdom" 2017 RHBSTW-00119 2016-2020 Environment
GCF_002863945 ST24^^ 65 "Citrobacter youngae" 100.00% RefSeq Ext SAMN07974441 Human USA NA YDC691 Unknown Human
GCF_003400395 ST30 66 "Citrobacter youngae" 100.00% RefSeq Ext SAMN08623837 Human USA 2016 CRE89 2016-2020 Human
GCF_015731115 ST501 67 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16274500 Bovine China 2019 SC4R 2016-2020 Swine/Bovine
GCF_018421715 ST91 68 "Citrobacter freundii" 100.00% RefSeq Ext SAMN17373064 Human Germany 2019 Survcare396 2016-2020 Human
GCF_002386385 ST25^^ 69 "Citrobacter gillenii" 100.00% RefSeq Ext SAMN07312408 Human USA 2014 FDAARGOS_364 2011-2015 Human
GCF_019584005 ST26^^ 70 "Citrobacter werkmanii" 100.00% RefSeq Ext SAMN11855594 Environment Nigeria 2017 EC_71 2016-2020 Environment
GCF_002918575 ST27^^ 72 "Citrobacter braakii" 100.00% RefSeq Ext SAMN08395889 Plant Unknown NA S649 Unknown Plant
GCF_004801125 ST28^^ 73 "Citrobacter murliniae" 100.00% RefSeq Ext SAMN09204092 Human "United Kingdom" 2016 "P080C CL" 2016-2020 Human
GCF_016500865 ST29^^ 74 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16340017 Human USA 2019 CB00179 2016-2020 Human
GCF_016503635 ST30^^ 75 "Citrobacter braakii" 100.00% RefSeq Ext SAMN12220318 Human USA 2018 CB00113 2016-2020 Human
GCF_004005255 ST62 78 "Citrobacter freundii" 100.00% RefSeq Ext SAMN10644698 Environment France 2017 109A3 2016-2020 Environment
GCF_016500885 ST31^^ 79 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16340015 Human USA 2019 CB00177 2016-2020 Human
GCF_005281165 ST32^^ 80 "Citrobacter braakii" 100.00% RefSeq Ext SAMN11369624 Unknown Poland NA wls621 Unknown Unknown
GCF_016502045 ST22 82 "Citrobacter freundii" 100.00% RefSeq Ext SAMN13621915 Human USA 2018 CB00131 2016-2020 Human
GCF_005281155 ST33^^ 83 "Citrobacter braakii" 100.00% RefSeq Ext SAMN11369621 Unknown Poland NA wls618 Unknown Unknown
GCF_009876795 ST34^^ 84 "Citrobacter amalonaticus" 100.00% RefSeq Ext SAMN11945276 Human USA 2015 BIOML-A5 2011-2015 Human
GCF_003015305 ST35^^ 85 "Citrobacter freundii" 100.00% RefSeq Ext SAMN08426773 Mammalian Germany 2017 236-17-2 2016-2020 "Mammal (other)"
GCF_002417525 ST36^^ 86 "Citrobacter freundii" 100.00% RefSeq Ext SAMN06106877 Human "South Africa" 2013 CF003 2011-2015 Human
GCF_011602505 ST19^^ 87 "Citrobacter amalonaticus" 100.00% RefSeq Ext SAMN14352213 Environment China 2015 Y3 2011-2015 Environment
GCF_015230995 ST37^^ 88 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN14347827 Environment "South Africa" 2019 19RL1-4 2016-2020 Environment
GCF_000277565 ST169 89 "Citrobacter freundii" 100.00% RefSeq Ext SAMN02471426 Environment Malaysia NA A1 Unknown Environment
GCF_016500585 ST114 90 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16340030 Human USA 2019 CB00195 2016-2020 Human
GCF_004801105 ST311 91 "Citrobacter freundii" 100.00% RefSeq Ext SAMN09204089 Human "United Kingdom" 2016 "P079F I" 2016-2020 Human
GCF_005960425 ST263 92 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_004023995 ST8 93 "Citrobacter freundii" 100.00% RefSeq Ext SAMN09289757 Environment USA 2017 GEO_48_Eff_C 2016-2020 Environment
GCF_004801115 ST95 94 "Citrobacter freundii" 100.00% RefSeq Ext SAMN09204104 Human "United Kingdom" 2016 "P106E PI" 2016-2020 Human
GCF_010319905 ST38^^ 95 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMD00201481 Unknown Unknown NA NA Unknown Unknown
GCF_002939255 ST39^^ 96 "Citrobacter braakii" 100.00% RefSeq Ext SAMN06234158 Plant Bolivia 2013 CA-26 2011-2015 Plant
GCF_021417205 ST85 97 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN21237503 Human China 2018 16G70 2016-2020 Human
GCF_016509215 ST31 98 "Citrobacter cronae" 100.00% RefSeq Ext SAMN10435565 Human USA 2017 CB00021 2016-2020 Human
GCF_014855625 ST40^^ 99 "Citrobacter amalonaticus" 100.00% RefSeq Ext SAMN12219571 Human Germany 2014 CA13304 2011-2015 Human
GCF_014803025 ST22 100 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16205299 Human France 2018 179H4 2016-2020 Human
ERQ0683 ST116 101 "Citrobacter freundii" 99.45% Wastewater Int NA Wastewater Australia 2019 NA 2016-2020 Wastewater
GCF_016503845 ST91 102 "Citrobacter freundii" 100.00% RefSeq Ext SAMN12220309 Human USA 2018 CB00104 2016-2020 Human
GCF_000158355 ST41^^ 103 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN02463699 Human Unknown NA 30_2 Unknown Human
GCF_016502215 ST240 104 "Citrobacter cronae" 100.00% RefSeq Ext SAMN10435574 Other USA 2017 CB00030 2016-2020 Other
GCF_013745755 ST42^^ 105 "Citrobacter gillenii" 100.00% RefSeq Ext SAMN15148688 Environment "United Kingdom" 2017 RHBSTW-00714 2016-2020 Environment
ERQ0172 ST264 106 "Citrobacter portucalensis" 98.47% Wastewater Int NA Wastewater Australia 2019 NA 2016-2020 Wastewater
GCF_001055315 ST341 107 "Citrobacter freundii" 100.00% RefSeq Ext SAMN03197734 Human USA NA 538_CKOS Unknown Human
SD_2_G2 ST43^^ 110 "Citrobacter amalonaticus" 99.25% Gull Int NA Gull Australia 2019 NA 2016-2020 Gull
GCF_900446905 ST184 111 "Citrobacter youngae" 100.00% RefSeq Ext SAMEA3714888 Unknown Unknown NA NA Unknown Unknown
ERQ0682 ST116 112 "Citrobacter freundii" 99.46% Wastewater Int NA Wastewater Australia 2019 NA 2016-2020 Wastewater
GCF_905219065 ST8 113 "Citrobacter freundii" 100.00% RefSeq Ext SAMEA7853256 Unknown Unknown NA NA Unknown Unknown
GCF_013786145 ST185 114 "Citrobacter freundii" 100.00% RefSeq Ext SAMN15148568 Environment "United Kingdom" 2017 RHBSTW-00310 2016-2020 Environment
GCF_002918495 ST44^^ 115 "Citrobacter braakii" 100.00% RefSeq Ext SAMN08395895 Plant Unknown NA S1278 Unknown Plant
GCF_013798355 ST42^^ 116 "Citrobacter gillenii" 100.00% RefSeq Ext SAMN15148447 Environment "United Kingdom" 2017 RHBSTW-00006 2016-2020 Environment
GCF_010119415 ST420 117 "Citrobacter youngae" 100.00% RefSeq Ext SAMN13927060 Environment Ireland 2017 UL-CPE-01 2016-2020 Environment
ERQ0044 ST45^^ 118 "Citrobacter portucalensis" 99.34% Wastewater Int NA Wastewater Australia 2019 NA 2016-2020 Wastewater
GCF_014803275 ST22 120 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16205284 Human France 2017 137i2 2016-2020 Human
GCF_002918465 ST44^^ 115 "Citrobacter braakii" 100.00% RefSeq Ext SAMN08395900 Plant Unknown NA S1283 Unknown Plant
GCF_018443005 ST22 15 "Citrobacter freundii" 100.00% RefSeq Ext SAMN17372014 Human Germany 2018 Survcare092 2016-2020 Human
GCF_018441725 ST46^^ 121 "Citrobacter freundii" 100.00% RefSeq Ext SAMN17372075 Human Germany 2018 Survcare163 2016-2020 Human
GCF_015730635 ST109 122 "Citrobacter braakii" 100.00% RefSeq Ext SAMN16274524 Bovine China 2019 SZ6R 2016-2020 Swine/Bovine
GCF_013815045 ST47^^ 125 "Citrobacter gillenii" 100.00% RefSeq Ext SAMN15148363 Bovine "United Kingdom" 2017 RHB36-C06 2016-2020 Swine/Bovine
GCF_019656375 ST497 126 "Citrobacter europaeus" 100.00% RefSeq Ext SAMD00323045 Unknown Unknown NA NA Unknown Unknown
GCF_014103655 ST347 127 "Citrobacter pasteurii" 100.00% RefSeq Ext SAMN15148559 Environment "United Kingdom" 2017 RHBSTW-00271 2016-2020 Environment
GCF_003471655 ST232 128 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN09734850 Human China 2013 AM17-37 2011-2015 Human
GCF_005217825 ST98 129 "Citrobacter freundii" 100.00% RefSeq Ext SAMN10976864 Human USA 2016 2016WA-REV 2016-2020 Human
GCF_001317155 ST63 131 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN04011453 Human "South Africa" NA 953086287 Unknown Human
GCF_013797615 ST48^^ 132 "Citrobacter braakii" 100.00% RefSeq Ext SAMN15148454 Environment "United Kingdom" 2017 RHBSTW-00017 2016-2020 Environment
GCF_013826265 ST328 133 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN15148289 Bovine "United Kingdom" 2017 RHB30-C04 2016-2020 Swine/Bovine
GCF_014803265 ST22 134 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16205287 Human France 2017 149i8 2016-2020 Human
GCF_016505625 ST241 139 "Citrobacter braakii" 100.00% RefSeq Ext SAMN10435547 Human USA 2017 CB00002 2016-2020 Human
GCF_015674715 ST35^^ 140 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16304137 Swine Canada 2017 Res13-Lact-EC02-01 2016-2020 Swine/Bovine
GCF_900449345 ST49^^ 143 "Citrobacter braakii" 100.00% RefSeq Ext SAMEA3376910 Unknown Unknown NA NA Unknown Unknown
GCF_016505395 ST244 144 "Citrobacter braakii" 100.00% RefSeq Ext SAMN10435566 Human USA 2017 CB00022 2016-2020 Human
GCF_016505485 ST150 145 "Citrobacter freundii" 100.00% RefSeq Ext SAMN10435562 Human USA 2017 CB00018 2016-2020 Human
GCF_020099335 ST50^^ 146 "Citrobacter amalonaticus" 100.00% RefSeq Ext SAMN21218845 Unknown Germany NA FDAARGOS_1489 Unknown Unknown
ERQ0243 ST150 147 "Citrobacter freundii" 99.43% Wastewater Int NA Wastewater Australia 2019 NA 2016-2020 Wastewater
GCF_014103475 ST5^^ 13 "Citrobacter braakii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_015230755 ST51^^ 148 "Citrobacter freundii" 100.00% RefSeq Ext SAMN14257460 Environment "South Africa" 2018 8E1-5 2016-2020 Environment
GCF_016504865 ST64 149 "Citrobacter freundii" 100.00% RefSeq Ext SAMN10435599 Human USA 2017 CB00056 2016-2020 Human
GCF_018106225 ST18^^ 150 "Citrobacter cronae" 100.00% RefSeq Ext SAMN11513638 Human Malaysia 2015 CRE1173 2011-2015 Human
GCF_016859695 ST52^^ 151 "Citrobacter braakii" 100.00% RefSeq Ext SAMN13156549 Environment Portugal 2015 RWM.4 2011-2015 Environment
GCF_001482575 ST22 152 "Citrobacter freundii" 100.00% RefSeq Ext SAMN04124438 Human Denmark 2015 "AMA 948" 2011-2015 Human
GCF_001297795 ST53^^ 153 "Citrobacter amalonaticus" 100.00% RefSeq Ext SAMN03945393 Insect Mexico 2011 CtB7.12 2011-2015 Invertebrate
GCF_009876695 ST34^^ 84 "Citrobacter amalonaticus" 100.00% RefSeq Ext SAMN11945282 Human USA 2015 BIOML-A11 2011-2015 Human
GCF_009664045 ST169 154 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_016504115 ST485 155 "Citrobacter freundii" 100.00% RefSeq Ext SAMN11284929 Human USA 2018 CB00086 2016-2020 Human
GCF_013612875 ST54^^ 156 "Citrobacter gillenii" 100.00% RefSeq Ext SAMN15148600 Environment "United Kingdom" 2017 RHBSTW-00398 2016-2020 Environment
GCF_018423095 ST488 157 "Citrobacter freundii" 100.00% RefSeq Ext SAMN17372999 Human Germany 2019 Survcare314 2016-2020 Human
GCF_003255895 ST198 158 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN07206908 Human "South Korea" 2016 L6 2016-2020 Human
GCF_001034485 ST55^^ 159 "Citrobacter freundii" 100.00% RefSeq Ext SAMN03280164 Human Unknown 2014 MGH104 2011-2015 Human
GCF_015674155 ST39^^ 160 "Citrobacter braakii" 100.00% RefSeq Ext SAMN16304168 Insect Canada 2017 Res13-Lact-LER2-35-b 2016-2020 Invertebrate
GCF_016504735 ST56^^ 161 "Citrobacter freundii" 100.00% RefSeq Ext SAMN10435602 Human USA 2017 CB00059 2016-2020 Human
GCF_016502055 ST57^^ 162 "Citrobacter braakii" 100.00% RefSeq Ext SAMN13621917 Human USA 2018 CB00133 2016-2020 Human
SG18_265_S115 ST25^^ 163 "Citrobacter gillenii" 99.49% Gull Int NA Gull Australia 2018 NA 2016-2020 Gull
GCF_013741395 ST185 164 "Citrobacter freundii" 100.00% RefSeq Ext SAMN15148595 Environment "United Kingdom" 2017 RHBSTW-00370 2016-2020 Environment
GCF_014902035 ST112 166 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_902381795 ST155 167 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMEA5851209 Unknown Unknown NA NA Unknown Unknown
GCF_013890155 ST58^^ 168 "Citrobacter amalonaticus" 100.00% RefSeq Ext SAMN15148181 Bovine "United Kingdom" 2017 RHB20-C16 2016-2020 Swine/Bovine
GCF_016893745 ST31 169 "Citrobacter cronae" 100.00% RefSeq Ext SAMN17824641 Other Thailand NA Colony506 Unknown Other
GCF_901456255 ST62 170 "Citrobacter freundii" 100.00% RefSeq Ext SAMEA5578852 Unknown Unknown NA NA Unknown Unknown
GCF_015231155 ST51^^ 148 "Citrobacter freundii" 100.00% RefSeq Ext SAMN14389310 Avian "South Africa" 2018 9RL2-14 2016-2020 Avian
GCF_014104005 ST323 172 "Citrobacter freundii" 100.00% RefSeq Ext SAMN15148504 Environment "United Kingdom" 2017 RHBSTW-00132 2016-2020 Environment
GCF_900446875 ST59^^ 173 "Citrobacter braakii" 100.00% RefSeq Ext SAMEA4552893 Unknown Unknown NA NA Unknown Unknown
GCF_004353845 ST60^^ 175 "Citrobacter arsenatis" 100.00% RefSeq Ext SAMN11080768 Environment China 2018 LY-1 2016-2020 Environment
GCF_013746155 ST48^^ 132 "Citrobacter braakii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_001880845 ST91 176 "Citrobacter freundii" 100.00% RefSeq Ext SAMN05441416 Human Spain 2012 CF7_ST91 2011-2015 Human
GCF_002919455 ST44^^ 115 "Citrobacter braakii" 100.00% RefSeq Ext SAMN08395896 Plant Unknown NA S1279 Unknown Plant
GCF_014855525 ST488 177 "Citrobacter freundii" 100.00% RefSeq Ext SAMN12219576 Human Germany 2014 CF13014 2011-2015 Human
GCF_013816515 ST61^^ 178 "Citrobacter braakii" 100.00% RefSeq Ext SAMN15148356 Bovine "United Kingdom" 2017 RHB35-C21 2016-2020 Swine/Bovine
GCF_016502265 ST242 179 "Citrobacter cronae" 100.00% RefSeq Ext SAMN10435548 Human USA 2017 CB00003 2016-2020 Human
GCF_001922445 ST62^^ 180 "Citrobacter europaeus" 100.00% RefSeq Ext SAMN06158407 Insect China 2015 BD 2011-2015 Invertebrate
GCF_013784645 ST19 181 "Citrobacter freundii" 100.00% RefSeq Ext SAMN15148638 Environment "United Kingdom" 2017 RHBSTW-00502 2016-2020 Environment
SD_9_H6 ST63^^ 182 "Citrobacter youngae" 98.91% Gull Int NA Gull Australia 2019 NA 2016-2020 Gull
GCF_016859715 ST52^^ 151 "Citrobacter braakii" 100.00% RefSeq Ext SAMN13156551 Environment Portugal 2015 RWM.8 2011-2015 Environment
GCF_001034465 ST187 184 "Citrobacter youngae" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_013899325 ST64^^ 185 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN15148086 Bovine "United Kingdom" 2017 RHB12-C20 2016-2020 Swine/Bovine
GCF_001413195 ST100 186 "Citrobacter freundii" 100.00% RefSeq Ext SAMN02872775 Unknown USA 2011 "RU2 LB35" 2011-2015 Unknown
GCF_001057215 ST341 107 "Citrobacter freundii" 100.00% RefSeq Ext SAMN03197753 Human USA NA 554_CKOS Unknown Human
ERQ0222 ST166 188 "Citrobacter portucalensis" 99.31% Wastewater Int NA Wastewater Australia 2019 NA 2016-2020 Wastewater
GCF_013725165 ST167 189 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_001880775 ST328 190 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMN05441395 Human Spain 2010 CF4_ST90 1983-2010 Human
GCF_017151575 ST388 191 "Citrobacter braakii" 100.00% RefSeq Ext SAMN15659131 Environment China 2019 W1R 2016-2020 Environment
GCF_013390245 ST111 192 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_013794885 ST5^^ 13 "Citrobacter braakii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_900638065 ST65^^ 194 "Citrobacter youngae" 100.00% RefSeq Ext SAMEA103980411 Unknown Unknown NA NA Unknown Unknown
GCF_018420455 ST98 195 "Citrobacter freundii" 100.00% RefSeq Ext SAMN17373131 Human Germany 2018 ur18060060 2016-2020 Human
GCF_001413255 ST100 186 "Citrobacter freundii" 100.00% RefSeq Ext SAMN02872793 Unknown USA 2013 "RU2 BHI17" 2011-2015 Unknown
GCF_902387635 ST66^^ 197 "Citrobacter europaeus" 100.00% RefSeq Ext SAMEA5852000 Unknown Unknown NA NA Unknown Unknown
GCF_013747755 ST67^^ 198 "Citrobacter braakii" 100.00% RefSeq Ext SAMN15148646 Environment "United Kingdom" 2017 RHBSTW-00524 2016-2020 Environment
GCF_902807235 ST328 199 "Citrobacter portucalensis" 100.00% RefSeq Ext SAMEA6574534 Unknown Unknown NA NA Unknown Unknown
GCF_019502645 ST68^^ 200 "Citrobacter braakii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_000783755 ST98 201 "Citrobacter freundii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
ERQ0233 ST69^^ 202 "Citrobacter freundii" 98.84% Wastewater Int NA Wastewater Australia 2019 NA 2016-2020 Wastewater
GCF_016894085 ST108 203 "Citrobacter cronae" 100.00% RefSeq Ext SAMN17824635 Other Thailand NA Colony309 Unknown Other
GCF_019800295 ST70^^ 204 "Citrobacter amalonaticus" 100.00% RefSeq Ext SAMN12349704 Human Germany NA KE3510 Unknown Human
GCF_014104235 ST71^^ 205 "Citrobacter braakii" 100.00% RefSeq Ext NA Unknown Unknown NA NA Unknown Unknown
GCF_013741155 ST110 206 "Citrobacter braakii" 100.00% RefSeq Ext SAMN15148608 Environment "United Kingdom" 2017 RHBSTW-00424 2016-2020 Environment
GCF_900460975 ST72^^ 207 "Citrobacter braakii" 100.00% RefSeq Ext SAMEA4364224 Unknown Unknown NA NA Unknown Unknown
GCF_015230675 ST51^^ 148 "Citrobacter freundii" 100.00% RefSeq Ext SAMN14257462 Environment "South Africa" 2018 9E1-3 2016-2020 Environment
GCF_014803045 ST22 209 "Citrobacter freundii" 100.00% RefSeq Ext SAMN16205298 Human France 2018 178H10 2016-2020 Human
