snp-dists 0.6.3,DB_3_D1,DB_3_F10,ERQ0043,ERQ0044,ERQ0045,ERQ0152,ERQ0154,ERQ0155,ERQ0156,ERQ0159,ERQ0160,ERQ0161,ERQ0162,ERQ0165,ERQ0169,ERQ0173,ERQ0186,ERQ0189,ERQ0192,ERQ0199,ERQ0200,ERQ0211,ERQ0212,ERQ0213,ERQ0216,ERQ0217,ERQ0222,ERQ0224,ERQ0225,ERQ0227,ERQ0230,ERQ0233,ERQ0241,ERQ0243,ERQ0246,ERQ0250,ERQ0251,ERQ0255,ERQ0259,ERQ0278,ERQ0310,ERQ0572,ERQ0672,ERQ0678,ERQ0681,ERQ0682,ERQ0685,ERQ0689,GCF_000018045,GCF_000155975,GCF_000158355,GCF_000238735,GCF_000342325,GCF_000388155,GCF_000521945,GCF_000521965,GCF_000582615,GCF_000692115,GCF_000731055,GCF_000734905,GCF_000764735,GCF_000783445,GCF_000783755,GCF_000783995,GCF_000786265,GCF_000786275,GCF_000826205,GCF_000835925,GCF_000937455,GCF_000937505,GCF_000972645,GCF_000981805,GCF_000982845,GCF_001022155,GCF_001022275,GCF_001276105,GCF_001276125,GCF_001281005,GCF_001471655,GCF_001546285,GCF_001546305,GCF_001552875,GCF_001558935,GCF_001559075,GCF_001718055,GCF_002042885,GCF_002073755,GCF_002114305,GCF_002151695,GCF_002185305,GCF_002208845,GCF_002208985,GCF_002786865,GCF_002796485,GCF_002796505,GCF_002843195,GCF_002863965,GCF_002871775,GCF_002880615,GCF_002903215,GCF_002903305,GCF_002918455,GCF_002918465,GCF_002918495,GCF_002918505,GCF_002918555,GCF_002918575,GCF_002918835,GCF_002918855,GCF_002918865,GCF_002918875,GCF_002918935,GCF_002919425,GCF_002919455,GCF_002919485,GCF_002919795,GCF_002919825,GCF_002923765,GCF_002934505,GCF_002939255,GCF_002946635,GCF_002947035,GCF_002947675,GCF_003015305,GCF_003019835,GCF_003175795,GCF_003184045,GCF_003226155,GCF_003255895,GCF_003665535,GCF_003665595,GCF_003665615,GCF_003665635,GCF_003665655,GCF_004322975,GCF_005280805,GCF_005280825,GCF_005280855,GCF_005280875,GCF_005280915,GCF_005280935,GCF_005280955,GCF_005280975,GCF_005281015,GCF_005281025,GCF_005281055,GCF_005281115,GCF_005281125,GCF_005281155,GCF_005281165,GCF_005281175,GCF_005281195,GCF_005281245,GCF_005281255,GCF_005281325,GCF_005281355,GCF_005406305,GCF_008931685,GCF_014332945,GCF_014333035,GCF_900079995,GCF_900080005,GCF_902387635,SD_2_G2,SD_5_A12,SD_5_D4,SD_9_A7,SD_9_B7,SD_9_C7,SD_9_H6,SG18_100_2_S18,SG18_109_2_S19,SG18_138_1_S32,SG18_138_2_S33,SG18_223_S110,SG18_227_S53,SG18_229_S54,SG18_265_S115,SG18_42_S4,SG18_8_S1
ERQ0160,653,652,666,1,666,654,654,1058,655,1059,0,670,1059,1058,1059,672,672,654,0,1059,657,1059,661,1059,1059,1059,0,1059,653,670,648,671,671,654,1059,654,1058,654,660,654,655,1040,1069,653,653,654,653,653,2678,1227,173,298,649,665,155,657,650,1001,2839,650,2923,2687,658,1000,1049,1060,1504,3169,669,639,1054,2881,653,669,669,2857,2857,195,2859,655,2680,2680,2855,2830,654,169,994,1286,2858,1281,1053,2681,1011,181,655,174,2686,650,2828,1058,2,1070,1070,1070,997,2788,1067,676,676,669,679,2788,1070,1070,1070,1058,660,1062,676,1065,181,2673,2680,654,678,654,2675,2672,178,681,660,653,659,655,669,2114,2119,1446,1403,1057,142,1283,1428,1505,1264,2130,1266,1283,1058,1070,1396,2126,1065,1280,1064,1286,2672,665,1205,2858,1005,995,1000,2849,1051,640,1365,1070,665,1365,1401,1401,1402,1402,1394,1398,1475,2121,1456,2130
ERQ0161,143,129,164,669,164,113,113,1084,114,1085,670,0,1085,1084,1087,124,124,113,670,1085,164,1085,120,1085,1085,1085,670,1085,143,150,137,151,124,113,1085,151,1084,113,152,113,114,1096,1096,143,143,144,143,143,2732,1259,672,721,154,151,690,137,167,1039,2873,167,2954,2735,138,1040,1090,1115,1452,3198,1,166,1101,2903,112,1,1,2899,2899,695,2894,141,2727,2727,2887,2859,113,696,1035,1310,2900,1319,1104,2728,1044,688,135,702,2736,186,2843,1084,670,1091,1091,1091,1062,2826,1088,128,128,1,170,2826,1091,1091,1091,1084,162,1082,128,1096,688,2722,2727,141,169,151,2724,2724,679,172,162,155,139,141,1,2166,2164,1397,1363,1113,679,1323,1384,1453,1300,2181,1301,1323,1114,1096,1351,2179,1100,1307,1095,1327,2726,163,1078,2893,1052,1033,1040,2884,1078,135,1307,1096,163,1307,1303,1303,1305,1305,1349,1302,1425,2170,1409,2181
ERQ0162,1083,1092,1106,1058,1106,1062,1062,1,1063,2,1059,1085,0,1,169,1085,1085,1062,1059,0,1101,0,1069,2,2,2,1059,0,1083,1083,1089,1084,1083,1062,2,1104,1,1062,1101,1062,1063,190,151,1083,1083,1084,1083,1083,2741,1278,1058,1062,1099,1075,1062,1094,1090,889,2882,1090,2972,2753,1095,873,172,159,1592,3221,1084,1097,185,2927,1061,1084,1084,2905,2905,1056,2902,1083,2742,2742,2900,2861,1062,1055,874,1328,2906,1334,152,2743,886,1056,1092,1070,2752,1109,2862,1,1059,172,172,172,930,2820,174,1087,1087,1084,1106,2820,172,172,172,1,1099,142,1087,147,1056,2748,2742,1091,1105,1104,2750,2743,1051,1108,1099,1102,1096,1083,1084,2154,2152,1581,1552,148,1051,1325,1578,1593,1336,2169,1325,1325,149,88,1557,2166,123,1313,137,1367,2740,1105,1190,2906,897,873,873,2894,114,1080,1559,106,1105,1559,1553,1553,1545,1545,1555,1558,1568,2160,1587,2170
ERQ0165,1082,1091,1105,1057,1105,1061,1061,0,1062,1,1058,1084,1,0,168,1084,1084,1061,1058,1,1100,1,1068,1,1,1,1058,1,1082,1082,1088,1083,1082,1061,1,1103,0,1061,1100,1061,1062,189,150,1082,1082,1083,1082,1082,2741,1277,1057,1061,1098,1074,1061,1093,1089,888,2881,1089,2971,2753,1094,872,171,158,1591,3221,1083,1096,184,2926,1060,1083,1083,2904,2904,1055,2901,1082,2742,2742,2899,2860,1061,1054,873,1327,2905,1333,151,2743,885,1055,1091,1069,2752,1108,2861,0,1058,171,171,171,930,2819,173,1086,1086,1083,1105,2819,171,171,171,0,1098,141,1086,146,1055,2748,2742,1090,1104,1103,2750,2743,1050,1107,1098,1101,1095,1082,1083,2153,2151,1580,1551,147,1050,1324,1577,1592,1335,2168,1324,1324,148,87,1556,2165,122,1312,136,1366,2740,1104,1189,2905,896,872,872,2893,113,1079,1558,105,1104,1558,1552,1552,1544,1544,1554,1557,1567,2159,1586,2169
ERQ0169,1084,1091,1106,1058,1106,1063,1063,168,1064,169,1059,1087,169,168,0,1085,1085,1063,1059,169,1102,169,1070,169,169,169,1059,169,1084,1086,1090,1087,1084,1063,169,1100,168,1063,1099,1063,1064,162,161,1084,1084,1085,1084,1084,2731,1271,1066,1066,1100,1078,1065,1097,1091,884,2882,1091,2976,2740,1098,873,164,196,1587,3225,1086,1098,183,2926,1062,1086,1086,2904,2904,1071,2904,1084,2730,2730,2902,2862,1063,1059,871,1320,2905,1323,188,2731,881,1064,1095,1076,2739,1110,2865,168,1059,162,162,162,925,2801,160,1087,1087,1086,1105,2801,162,162,162,168,1100,154,1087,162,1064,2735,2730,1088,1104,1100,2737,2729,1062,1107,1102,1104,1099,1084,1086,2148,2145,1586,1550,184,1056,1320,1581,1588,1331,2161,1319,1320,185,170,1561,2158,161,1303,158,1363,2731,1105,1182,2907,899,872,873,2893,167,1078,1562,171,1105,1562,1557,1557,1549,1549,1559,1562,1566,2152,1588,2162
ERQ0173,134,135,170,671,170,109,109,1084,110,1085,672,124,1085,1084,1085,0,0,109,672,1085,151,1085,116,1085,1085,1085,672,1085,134,178,144,179,150,109,1085,148,1084,109,115,109,110,1093,1091,134,134,135,134,134,2710,1247,676,719,129,169,687,169,163,1018,2870,163,2946,2713,170,1028,1089,1112,1437,3175,123,145,1100,2890,108,123,123,2895,2895,695,2890,165,2707,2707,2883,2856,109,695,1014,1300,2896,1303,1101,2708,1030,691,167,699,2714,161,2840,1084,672,1088,1088,1088,1046,2824,1085,8,8,123,190,2824,1088,1088,1088,1084,167,1082,8,1094,691,2697,2707,122,189,148,2699,2702,678,192,163,157,171,165,123,2150,2148,1390,1357,1108,676,1308,1379,1438,1288,2170,1287,1308,1109,1093,1346,2163,1097,1304,1092,1318,2702,169,1078,2888,1033,1021,1028,2881,1075,135,1301,1094,169,1301,1306,1306,1308,1308,1344,1305,1409,2159,1407,2170
ERQ0186,134,135,170,671,170,109,109,1084,110,1085,672,124,1085,1084,1085,0,0,109,672,1085,151,1085,116,1085,1085,1085,672,1085,134,178,144,179,150,109,1085,148,1084,109,115,109,110,1093,1091,134,134,135,134,134,2710,1247,676,719,129,169,687,169,163,1018,2870,163,2946,2713,170,1028,1089,1112,1437,3175,123,145,1100,2890,108,123,123,2895,2895,695,2890,165,2707,2707,2883,2856,109,695,1014,1300,2896,1303,1101,2708,1030,691,167,699,2714,161,2840,1084,672,1088,1088,1088,1046,2824,1085,8,8,123,190,2824,1088,1088,1088,1084,167,1082,8,1094,691,2697,2707,122,189,148,2699,2702,678,192,163,157,171,165,123,2150,2148,1390,1357,1108,676,1308,1379,1438,1288,2170,1287,1308,1109,1093,1346,2163,1097,1304,1092,1318,2702,169,1078,2888,1033,1021,1028,2881,1075,135,1301,1094,169,1301,1306,1306,1308,1308,1344,1305,1409,2159,1407,2170
ERQ0189,96,111,154,653,154,0,0,1061,1,1062,654,113,1062,1061,1063,109,109,0,654,1062,139,1062,7,1062,1062,1062,654,1062,96,165,112,166,155,0,1062,152,1061,0,107,0,1,1068,1068,96,96,97,96,96,2698,1238,662,699,129,160,680,162,140,1019,2865,140,2935,2706,163,1016,1066,1083,1431,3167,112,123,1075,2886,1,112,112,2890,2890,680,2885,146,2697,2697,2878,2847,0,686,1011,1289,2891,1297,1077,2698,1026,671,160,672,2707,151,2832,1061,654,1064,1064,1064,1039,2817,1061,113,113,112,181,2817,1064,1064,1064,1061,145,1059,113,1068,671,2692,2697,116,180,152,2694,2698,668,183,147,124,164,146,112,2129,2129,1377,1344,1082,666,1301,1365,1432,1278,2146,1277,1301,1083,1070,1327,2145,1072,1287,1067,1310,2694,153,1055,2883,1028,1009,1016,2876,1049,144,1292,1066,153,1292,1284,1284,1284,1284,1325,1281,1403,2135,1394,2146
ERQ0192,653,652,666,1,666,654,654,1058,655,1059,0,670,1059,1058,1059,672,672,654,0,1059,657,1059,661,1059,1059,1059,0,1059,653,670,648,671,671,654,1059,654,1058,654,660,654,655,1040,1069,653,653,654,653,653,2678,1227,173,298,649,665,155,657,650,1001,2839,650,2923,2687,658,1000,1049,1060,1504,3169,669,639,1054,2881,653,669,669,2857,2857,195,2859,655,2680,2680,2855,2830,654,169,994,1286,2858,1281,1053,2681,1011,181,655,174,2686,650,2828,1058,2,1070,1070,1070,997,2788,1067,676,676,669,679,2788,1070,1070,1070,1058,660,1062,676,1065,181,2673,2680,654,678,654,2675,2672,178,681,660,653,659,655,669,2114,2119,1446,1403,1057,142,1283,1428,1505,1264,2130,1266,1283,1058,1070,1396,2126,1065,1280,1064,1286,2672,665,1205,2858,1005,995,1000,2849,1051,640,1365,1070,665,1365,1401,1401,1402,1402,1394,1398,1475,2121,1456,2130
ERQ0199,1083,1092,1106,1058,1106,1062,1062,1,1063,2,1059,1085,0,1,169,1085,1085,1062,1059,0,1101,0,1069,2,2,2,1059,0,1083,1083,1089,1084,1083,1062,2,1104,1,1062,1101,1062,1063,190,151,1083,1083,1084,1083,1083,2741,1278,1058,1062,1099,1075,1062,1094,1090,889,2882,1090,2972,2753,1095,873,172,159,1592,3221,1084,1097,185,2927,1061,1084,1084,2905,2905,1056,2902,1083,2742,2742,2900,2861,1062,1055,874,1328,2906,1334,152,2743,886,1056,1092,1070,2752,1109,2862,1,1059,172,172,172,930,2820,174,1087,1087,1084,1106,2820,172,172,172,1,1099,142,1087,147,1056,2748,2742,1091,1105,1104,2750,2743,1051,1108,1099,1102,1096,1083,1084,2154,2152,1581,1552,148,1051,1325,1578,1593,1336,2169,1325,1325,149,88,1557,2166,123,1313,137,1367,2740,1105,1190,2906,897,873,873,2894,114,1080,1559,106,1105,1559,1553,1553,1545,1545,1555,1558,1568,2160,1587,2170
ERQ0200,145,140,133,656,133,139,139,1100,140,1101,657,164,1101,1100,1102,151,151,139,657,1101,0,1101,146,1101,1101,1101,657,1101,145,218,138,219,181,139,1101,141,1100,139,106,139,140,1090,1109,145,145,146,145,145,2711,1246,671,712,112,204,678,205,152,1038,2871,152,2943,2709,206,1040,1095,1103,1466,3180,163,115,1098,2907,138,163,163,2896,2896,681,2889,140,2702,2702,2882,2857,139,681,1028,1303,2897,1307,1096,2703,1051,672,203,680,2710,156,2840,1100,657,1104,1104,1104,1053,2828,1101,155,155,163,208,2828,1104,1104,1104,1100,130,1100,155,1111,672,2696,2702,119,207,141,2698,2704,664,210,108,115,207,140,163,2146,2145,1409,1357,1104,670,1308,1370,1467,1291,2163,1292,1308,1105,1111,1329,2161,1113,1306,1110,1323,2700,132,1094,2890,1042,1032,1040,2882,1094,157,1302,1110,132,1302,1309,1309,1311,1311,1327,1308,1435,2152,1423,2163
ERQ0211,1083,1092,1106,1058,1106,1062,1062,1,1063,2,1059,1085,0,1,169,1085,1085,1062,1059,0,1101,0,1069,2,2,2,1059,0,1083,1083,1089,1084,1083,1062,2,1104,1,1062,1101,1062,1063,190,151,1083,1083,1084,1083,1083,2741,1278,1058,1062,1099,1075,1062,1094,1090,889,2882,1090,2972,2753,1095,873,172,159,1592,3221,1084,1097,185,2927,1061,1084,1084,2905,2905,1056,2902,1083,2742,2742,2900,2861,1062,1055,874,1328,2906,1334,152,2743,886,1056,1092,1070,2752,1109,2862,1,1059,172,172,172,930,2820,174,1087,1087,1084,1106,2820,172,172,172,1,1099,142,1087,147,1056,2748,2742,1091,1105,1104,2750,2743,1051,1108,1099,1102,1096,1083,1084,2154,2152,1581,1552,148,1051,1325,1578,1593,1336,2169,1325,1325,149,88,1557,2166,123,1313,137,1367,2740,1105,1190,2906,897,873,873,2894,114,1080,1559,106,1105,1559,1553,1553,1545,1545,1555,1558,1568,2160,1587,2170
ERQ0212,103,118,161,660,161,7,7,1068,8,1069,661,120,1069,1068,1070,116,116,7,661,1069,146,1069,0,1069,1069,1069,661,1069,103,172,119,173,162,7,1069,159,1068,7,114,7,8,1075,1075,103,103,104,103,103,2704,1245,669,706,136,167,687,169,147,1026,2869,147,2939,2712,170,1023,1073,1090,1434,3172,119,130,1082,2890,8,119,119,2894,2894,687,2889,153,2703,2703,2882,2851,7,693,1018,1295,2895,1303,1084,2704,1033,678,167,679,2713,158,2836,1068,661,1071,1071,1071,1044,2823,1068,120,120,119,188,2823,1071,1071,1071,1068,152,1066,120,1075,678,2698,2703,123,187,159,2700,2704,675,190,154,131,171,153,119,2132,2132,1378,1345,1089,673,1307,1366,1435,1282,2149,1281,1307,1090,1077,1328,2148,1079,1293,1074,1314,2700,160,1060,2887,1033,1016,1023,2880,1056,151,1295,1073,160,1295,1285,1285,1285,1285,1326,1282,1406,2138,1397,2149
