ID	ST_new	Cluster__autocolour	bacsort_species	match	collection	Int_Ext	biosample	Source	Country	Date	strain
GCF_014103475	placeholder_ST5	151	Citrobacter braakii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_015230755	placeholder_ST51	152	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN14257460	Environment	South Africa	2018	8E1-5
GCF_016504865	64	153	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN10435599	Human	USA	2017	CB00056
GCF_018106225	placeholder_ST18	154	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN11513638	Human	Malaysia	2015	CRE1173
GCF_016859695	placeholder_ST52	155	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN13156549	Environment	Portugal	2015	RWM.4
GCF_001482575	22	156	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN04124438	Human	Denmark	2015	AMA 948
GCF_001297795	placeholder_ST53	157	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN03945393	Insect	Mexico	2011	CtB7.12
GCF_009876695	placeholder_ST34	158	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN11945282	Human	USA	2015	BIOML-A11
GCF_009664045	169	159	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_016504115	485	160	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN11284929	Human	USA	2018	CB00086
GCF_013612875	placeholder_ST54	161	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN15148600	Environment	United Kingdom	2017	RHBSTW-00398
GCF_018423095	488	162	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17372999	Human	Germany	2019	Survcare314
GCF_003255895	198	163	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN07206908	Human	South Korea	2016	L6
GCF_001034485	placeholder_ST55	164	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN03280164	Human	"NA"	2014	MGH104
GCF_015674155	placeholder_ST39	165	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN16304168	Insect	Canada	2017	Res13-Lact-LER2-35-b
GCF_016504735	placeholder_ST56	166	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN10435602	Human	USA	2017	CB00059
GCF_016502055	placeholder_ST57	167	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN13621917	Human	USA	2018	CB00133
SG18_265_S115	placeholder_ST25	168	Citrobacter gillenii	99.49%	Gull	Int	"NA"	Gull	Australia	2018	"NA"
GCF_013741395	185	169	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15148595	Environment	United Kingdom	2017	RHBSTW-00370
GCF_014902035	112	171	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_902381795	155	172	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMEA5851209	"NA"	"NA"	"NA"	"NA"
GCF_013890155	placeholder_ST58	173	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN15148181	Bovine	United Kingdom	2017	RHB20-C16
GCF_016893745	31	174	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN17824641	Other	Thailand	"NA"	Colony506
GCF_901456255	62	175	Citrobacter freundii	100.00%	RefSeq	Ext	SAMEA5578852	"NA"	"NA"	"NA"	"NA"
GCF_015231155	placeholder_ST51	152	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN14389310	Avian	South Africa	2018	9RL2-14
GCF_014104005	323	178	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15148504	Environment	United Kingdom	2017	RHBSTW-00132
GCF_900446875	placeholder_ST59	179	Citrobacter braakii	100.00%	RefSeq	Ext	SAMEA4552893	"NA"	"NA"	"NA"	"NA"
GCF_004353845	placeholder_ST60	181	Citrobacter arsenatis	100.00%	RefSeq	Ext	SAMN11080768	Environment	China	2018	LY-1
GCF_013746155	placeholder_ST48	182	Citrobacter braakii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_001880845	91	183	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN05441416	Human	Spain	2012	CF7_ST91
GCF_002919455	placeholder_ST44	117	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN08395896	Plant	"NA"	"NA"	S1279
GCF_014855525	488	184	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN12219576	Human	Germany	2014	CF13014
GCF_013816515	placeholder_ST61	185	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN15148356	Bovine	United Kingdom	2017	RHB35-C21
GCF_016502265	242	186	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN10435548	Human	USA	2017	CB00003
GCF_001922445	placeholder_ST62	187	Citrobacter europaeus	100.00%	RefSeq	Ext	SAMN06158407	Insect	China	2015	BD
GCF_013784645	19	188	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN15148638	Environment	United Kingdom	2017	RHBSTW-00502
SD_9_H6	placeholder_ST63	189	Citrobacter youngae	98.91%	Gull	Int	"NA"	Gull	Australia	2019	"NA"
GCF_016859715	placeholder_ST52	190	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN13156551	Environment	Portugal	2015	RWM.8
GCF_001034465	187	192	Citrobacter youngae	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_013899325	placeholder_ST64	193	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN15148086	Bovine	United Kingdom	2017	RHB12-C20
GCF_001413195	100	195	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN02872775	"NA"	USA	2011	RU2 LB35
GCF_001057215	341	109	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN03197753	Human	USA	"NA"	554_CKOS
ERQ0222	166	197	Citrobacter portucalensis	99.31%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
GCF_013725165	167	198	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_001880775	328	199	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN05441395	Human	Spain	2010	CF4_ST90
GCF_017151575	388	200	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN15659131	Environment	China	2019	W1R
GCF_013390245	111	201	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_013794885	placeholder_ST5	203	Citrobacter braakii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_900638065	placeholder_ST65	204	Citrobacter youngae	100.00%	RefSeq	Ext	SAMEA103980411	"NA"	"NA"	"NA"	"NA"
GCF_018420455	98	205	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17373131	Human	Germany	2018	ur18060060
GCF_001413255	100	195	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN02872793	"NA"	USA	2013	RU2 BHI17
GCF_902387635	placeholder_ST66	207	Citrobacter europaeus	100.00%	RefSeq	Ext	SAMEA5852000	"NA"	"NA"	"NA"	"NA"
GCF_013747755	placeholder_ST67	208	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN15148646	Environment	United Kingdom	2017	RHBSTW-00524
GCF_902807235	328	209	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMEA6574534	"NA"	"NA"	"NA"	"NA"
GCF_019502645	placeholder_ST68	210	Citrobacter braakii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_000783755	98	211	Citrobacter freundii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
ERQ0233	placeholder_ST69	212	Citrobacter freundii	98.84%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
GCF_016894085	108	213	Citrobacter cronae	100.00%	RefSeq	Ext	SAMN17824635	Other	Thailand	"NA"	Colony309
GCF_019800295	placeholder_ST70	214	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN12349704	Human	Germany	"NA"	KE3510
GCF_014104235	placeholder_ST71	215	Citrobacter braakii	100.00%	RefSeq	Ext	"NA"	"NA"	"NA"	"NA"	"NA"
GCF_013741155	110	216	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN15148608	Environment	United Kingdom	2017	RHBSTW-00424
GCF_900460975	placeholder_ST72	217	Citrobacter braakii	100.00%	RefSeq	Ext	SAMEA4364224	"NA"	"NA"	"NA"	"NA"
GCF_015230675	placeholder_ST51	152	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN14257462	Environment	South Africa	2018	9E1-3
GCF_014803045	22	219	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205298	Human	France	2018	178H10
GCF_009876815	placeholder_ST34	221	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN11945278	Human	USA	2015	BIOML-A7
GCF_018447685	396	223	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17372063	Human	Germany	2018	Survcare150
GCF_014803335	placeholder_ST73	224	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16205286	Human	France	2017	137i7
GCF_905329885	22	225	Citrobacter freundii	100.00%	RefSeq	Ext	SAMEA8065677	"NA"	"NA"	"NA"	"NA"
GCF_019448455	284	226	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN20477951	Avian	China	2020	SC2-6
GCF_020889125	placeholder_ST74	227	Citrobacter freundii	100.00%	RefSeq	Ext	SAMD00412808	"NA"	"NA"	"NA"	"NA"
GCF_001558935	placeholder_ST50	228	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN03996309	Human	USA	2014	FDAARGOS_165
GCF_016939615	8	229	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN16933282	Human	Czech Republic	2019	CF49969
GCF_016505125	placeholder_ST75	230	Citrobacter amalonaticus	100.00%	RefSeq	Ext	SAMN10435582	Human	USA	2017	CB00038
GCF_005281265	placeholder_ST32	231	Citrobacter braakii	100.00%	RefSeq	Ext	SAMN11369631	"NA"	Poland	"NA"	wls713
GCF_002151735	216	232	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN04521891	Human	USA	2015	MGH142
GCF_018446835	19	233	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN17372133	Human	Germany	2019	Survcare242
GCF_021729115	129	234	Citrobacter portucalensis	100.00%	RefSeq	Ext	SAMN24386560	Fish	China	2019	GC01
GCF_001413095	placeholder_ST76	195	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN02872770	"NA"	USA	2011	RU2 LB30
GCF_014855535	278	235	Citrobacter freundii	100.00%	RefSeq	Ext	SAMN12219575	Human	Germany	2014	CF12908
GCF_005280945	placeholder_ST77	236	Citrobacter gillenii	100.00%	RefSeq	Ext	SAMN11369636	"NA"	Poland	"NA"	wls718
ERQ0689	116	237	Citrobacter freundii	99.44%	Wastewater	Int	"NA"	Wastewater	Australia	2019	"NA"
